LibA,LibB,comparison,Operation,Depth,Width,Content,delta,delta_abs,magnitude,ci_lower,ci_upper
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,20,Textual,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,20,Numeric,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,20,Boolean,-0.8311111111111111,0.8311111111111111,large,-0.9710999078701045,-0.2656578157767825
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,50,Textual,0.8755555555555555,0.8755555555555555,large,0.3896076557160267,0.9801539881776856
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,50,Numeric,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,50,Boolean,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,100,Textual,1,1,large,0.9904211003489777,1
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,100,Textual,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,100,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,100,Numeric,1,1,large,0.9904211003489777,1
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,100,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,100,Boolean,1,1,large,0.9904211003489777,1
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,100,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,100,Boolean,1,1,large,0.9904211003489777,1
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,5,Textual,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,5,Numeric,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,5,Boolean,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,20,Textual,0.8844444444444445,0.8844444444444445,large,0.42537712789934884,0.981517539750061
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,20,Numeric,0.8933333333333333,0.8933333333333333,large,0.4621743508321119,0.982889626991654
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,20,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,20,Boolean,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,20,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,50,Textual,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,50,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,50,Numeric,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,50,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,5,50,Boolean,0.7777777777777778,0.7777777777777778,large,0.30431127738882113,0.943078458967387
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,5,50,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,5,100,Textual,1,1,large,0.9904211003489777,1
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,5,100,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,5,100,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,5,100,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,5,100,Textual,-1,1,large,-1,-0.9904211003489777
