LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,I5,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,I5,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,I5,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,I5,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,I5,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,I5,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,I5,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,I7,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,I7,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,I7,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,I7,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,I7,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,I7,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,I7,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,I7,Integer,-0.8844444444444445,0.8844444444444445,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,I7,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,I7,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,I10,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,I10,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,I10,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,I10,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,I10,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,I10,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,I10,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,I10,Integer,-0.6977777777777778,0.6977777777777778,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,I10,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,I10,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,F2,Float,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,F2,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,F2,Float,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,F2,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,F2,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,F2,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,F2,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,F2,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,F2,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,F2,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,F3,Float,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,F3,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,F3,Float,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,F3,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,F3,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,F3,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,F3,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,F3,Float,0.6622222222222223,0.6622222222222223,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,F3,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,F3,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,F5,Float,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,F5,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,F5,Float,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,F5,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,F5,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,F5,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,F5,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,F5,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,F5,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,F5,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,F7,Float,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,F7,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,F7,Float,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,F7,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,F7,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,F7,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,F7,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,F7,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,F7,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,F7,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,F10,Float,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,F10,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,F10,Float,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,F10,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,F10,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,F10,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,F10,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,F10,Float,-0.23555555555555555,0.23555555555555555,S
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,F10,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,F10,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,I2,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,I2,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,I2,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,I2,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,I2,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,I2,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,I2,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,I2,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,I2,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,I2,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,I3,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,I3,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,I3,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,I3,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,I3,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,I3,Integer,-0.9288888888888889,0.9288888888888889,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,I3,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,I3,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,I3,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,I3,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,I5,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,I5,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,I5,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,I5,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,I5,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,I5,Integer,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,I5,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,I5,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,I5,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,I5,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,I7,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,I7,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,I7,Integer,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,I7,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,I7,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,I7,Integer,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,I7,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,I7,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,I7,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,I7,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,I10,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,I10,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,I10,Integer,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,I10,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,I10,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,I10,Integer,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,I10,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,I10,Integer,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,I10,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,I10,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,F2,Float,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,F2,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,F2,Float,0.9022222222222223,0.9022222222222223,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,F2,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,F2,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,F2,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,F2,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,F2,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,F2,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,F2,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,F3,Float,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,F3,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,F3,Float,-0.37777777777777777,0.37777777777777777,M
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,F3,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,F3,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,F3,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,F3,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,F3,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,F3,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,F3,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,F5,Float,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,F5,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,F5,Float,0.5377777777777778,0.5377777777777778,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,F5,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,F5,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,F5,Float,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,F5,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,F5,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,F5,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,F5,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,F7,Float,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,F7,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,F7,Float,-0.9911111111111112,0.9911111111111112,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,F7,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,F7,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,F7,Float,0.9555555555555556,0.9555555555555556,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,F7,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,F7,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,F7,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,F7,Float,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,F10,Float,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,F10,Float,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,F10,Float,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,F10,Float,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,F10,Float,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,F10,Float,-0.9822222222222222,0.9822222222222222,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,F10,Float,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,F10,Float,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,F10,Float,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,F10,Float,1,1,L
