Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
STJSrcGen_Ser_D2,15,665776,"1,501.7 ns",8.21 ns,7.68 ns,52.02 uj,0.35 uj,1.71 uj,49.77,0.1487,0,1248 B
STJSrcGen_Ser_D4,15,344384,"2,903.7 ns",19.54 ns,18.27 ns,101.59 uj,0.68 uj,3.27 uj,50.03,0.2933,0,2464 B
STJSrcGen_Ser_D8,15,177168,"5,648.1 ns",33.84 ns,31.66 ns,195.93 uj,1.28 uj,6.39 uj,50.07,0.5814,0,4904 B
STJSrcGen_Ser_D15,15,93520,"10,704.7 ns",62.97 ns,58.90 ns,376.41 uj,1.93 uj,12.07 uj,50.07,1.0907,0,9168 B
STJSrcGen_Ser_D25,15,57968,"17,564.5 ns",194.77 ns,182.19 ns,609.34 uj,5.58 uj,19.81 uj,50.17,1.8113,0,15256 B
STJSrcGen_Ser_D40,15,34528,"28,893.8 ns",173.48 ns,162.27 ns,1004.36 uj,7.75 uj,32.50 uj,50.33,2.8962,0,24392 B
Newtonsoft_Deser_D1,15,260960,"3,853.7 ns",23.70 ns,22.17 ns,132.37 uj,0.76 uj,4.33 uj,49.43,0.6208,0.0115,5224 B
Newtonsoft_Deser_D2,15,128832,"7,789.9 ns",43.44 ns,40.64 ns,267.57 uj,1.41 uj,8.87 uj,49.43,0.9547,0.0155,7992 B
Newtonsoft_Deser_D4,15,62544,"16,033.3 ns",104.39 ns,97.65 ns,550.12 uj,3.32 uj,18.24 uj,48.97,1.5669,0.064,13208 B
Newtonsoft_Deser_D8,15,31520,"31,936.9 ns",189.11 ns,176.89 ns,1096.14 uj,6.15 uj,36.35 uj,48.83,2.8236,0.1586,23864 B
Newtonsoft_Deser_D15,100,3696,"59,564.2 ns","1,490.76 ns","4,395.53 ns",2044.52 uj,149.73 uj,67.28 uj,49.49,4.8701,0.2706,42544 B
Newtonsoft_Deser_D25,15,9824,"97,482.1 ns",551.42 ns,515.80 ns,3345.83 uj,18.21 uj,110.65 uj,49.23,8.2451,0.8143,69432 B
Newtonsoft_Deser_D40,15,7088,"141,600.6 ns",826.86 ns,773.45 ns,4861.65 uj,26.74 uj,158.67 uj,48.93,13.1208,2.2573,110144 B
Newtonsoft_Ser_D1,15,401312,"2,487.6 ns",19.28 ns,18.04 ns,85.58 uj,0.61 uj,2.88 uj,49.4,0.5806,0.005,4864 B
Newtonsoft_Ser_D2,15,205008,"4,883.6 ns",32.89 ns,30.77 ns,167.82 uj,1.04 uj,5.62 uj,49.3,1.0683,0.0098,8968 B
Newtonsoft_Ser_D4,15,103616,"9,633.4 ns",52.06 ns,48.70 ns,330.90 uj,1.92 uj,10.82 uj,49.47,1.9978,0.0579,16784 B
Newtonsoft_Ser_D8,15,54224,"18,409.4 ns",118.04 ns,110.41 ns,631.99 uj,3.76 uj,20.80 uj,49.7,3.8913,0.2397,32664 B
Newtonsoft_Ser_D15,15,29472,"34,128.0 ns",207.57 ns,194.16 ns,1172.08 uj,7.17 uj,38.83 uj,49.57,7.3969,0.7125,62088 B
Newtonsoft_Ser_D25,15,17776,"56,597.4 ns",349.56 ns,326.98 ns,1942.51 uj,11.15 uj,63.62 uj,49.47,9.676,0.9563,81424 B
Newtonsoft_Ser_D40,15,10976,"91,671.2 ns",628.17 ns,587.59 ns,3149.76 uj,23.65 uj,105.11 uj,49.63,17.0372,2.0955,143072 B
