Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
Utf8Json_Ser_E5,15,160767,6.072 μs,0.0764 μs,0.0714 μs,208.57 uj,2.45 uj,6.88 uj,51.23,0.3794,0,3.1 KB
Utf8Json_Ser_U5,15,139437,7.240 μs,0.0528 μs,0.0494 μs,244.23 uj,1.89 uj,8.15 uj,50.47,0.3801,0,3.13 KB
Utf8Json_Ser_UE5,15,135188,7.164 μs,0.0783 μs,0.0733 μs,244.30 uj,2.74 uj,8.04 uj,50.4,0.3773,0,3.13 KB
Utf8Json_Ser_E10,15,120740,8.350 μs,0.0376 μs,0.0352 μs,286.90 uj,1.27 uj,9.39 uj,50.83,0.3893,0,3.2 KB
Utf8Json_Ser_U10,15,125859,7.645 μs,0.1037 μs,0.0970 μs,261.87 uj,3.17 uj,8.61 uj,50.73,0.3893,0,3.23 KB
Utf8Json_Ser_UE10,15,127463,7.617 μs,0.0952 μs,0.0890 μs,260.48 uj,3.11 uj,8.56 uj,50.5,0.3923,0,3.23 KB
Utf8Json_Ser_E25,15,71795,14.015 μs,0.1110 μs,0.1038 μs,481.08 uj,3.44 uj,15.72 uj,50.63,0.4179,0,3.48 KB
Utf8Json_Ser_U25,15,110931,8.834 μs,0.1037 μs,0.0970 μs,296.78 uj,3.57 uj,9.95 uj,50.53,0.4327,0,3.57 KB
Utf8Json_Ser_UE25,100,25404,9.245 μs,0.2570 μs,0.7579 μs,313.88 uj,25.94 uj,10.42 uj,50.32,0.433,0,3.57 KB
Utf8Json_Ser_E50,15,38285,26.160 μs,0.0953 μs,0.0891 μs,897.54 uj,3.56 uj,29.38 uj,50.73,0.4702,0,3.92 KB
Utf8Json_Ser_U50,15,110033,9.154 μs,0.0659 μs,0.0616 μs,308.80 uj,3.40 uj,10.32 uj,50.33,0.4999,0,4.15 KB
Utf8Json_Ser_UE50,15,109706,9.182 μs,0.0948 μs,0.0887 μs,311.52 uj,3.27 uj,10.35 uj,50.3,0.5013,0,4.15 KB
Utf8Json_Ser_E100,15,22086,45.448 μs,0.3819 μs,0.3573 μs,1554.92 uj,13.26 uj,51.04 uj,50.37,0.5886,0,4.86 KB
Utf8Json_Ser_U100,15,108552,9.241 μs,0.0466 μs,0.0436 μs,309.94 uj,1.52 uj,10.36 uj,50.4,0.6356,0,5.27 KB
Utf8Json_Ser_UE100,15,114585,8.766 μs,0.0480 μs,0.0449 μs,297.96 uj,1.36 uj,9.84 uj,50.23,0.6371,0,5.27 KB
STJRefGen_Deser_A0,15,101584,9.738 μs,0.0708 μs,0.0662 μs,334.96 uj,2.34 uj,10.98 uj,50.57,0.886,0.0197,7.26 KB
STJRefGen_Deser_E5,15,66656,14.902 μs,0.1219 μs,0.1140 μs,512.05 uj,3.97 uj,16.89 uj,50.6,0.8851,0.015,7.26 KB
STJRefGen_Deser_U5,15,57440,17.266 μs,0.1312 μs,0.1228 μs,592.87 uj,4.24 uj,19.53 uj,50.67,0.8879,0.0174,7.26 KB
STJRefGen_Deser_UE5,15,58432,17.024 μs,0.1252 μs,0.1171 μs,584.44 uj,4.02 uj,19.24 uj,50.57,0.8728,0.0171,7.26 KB
STJRefGen_Deser_E10,15,55504,17.857 μs,0.1112 μs,0.1040 μs,613.00 uj,3.48 uj,20.12 uj,50.63,0.8828,0.018,7.26 KB
STJRefGen_Deser_U10,15,48240,20.681 μs,0.1563 μs,0.1462 μs,709.85 uj,5.00 uj,23.22 uj,50.47,0.8706,0.0207,7.26 KB
STJRefGen_Deser_UE10,15,47776,20.692 μs,0.1629 μs,0.1524 μs,710.32 uj,5.28 uj,23.26 uj,50.7,0.8791,0.0209,7.26 KB
STJRefGen_Deser_E25,15,42048,23.493 μs,0.1778 μs,0.1663 μs,806.15 uj,5.89 uj,26.52 uj,50.37,0.8799,0,7.26 KB
STJRefGen_Deser_U25,15,27552,36.049 μs,0.3173 μs,0.2968 μs,1235.62 uj,10.54 uj,40.47 uj,50.13,0.8711,0,7.26 KB
STJRefGen_Deser_UE25,15,28352,35.091 μs,0.2870 μs,0.2685 μs,1198.67 uj,8.72 uj,39.55 uj,50.77,0.8818,0,7.26 KB
STJRefGen_Deser_E50,15,25520,38.653 μs,0.3724 μs,0.3483 μs,1315.73 uj,11.82 uj,43.37 uj,49.83,0.8621,0,7.26 KB
STJRefGen_Deser_U50,15,15424,63.982 μs,0.4514 μs,0.4223 μs,2163.61 uj,14.75 uj,71.93 uj,49.77,0.8428,0,7.26 KB
STJRefGen_Deser_UE50,15,15648,63.719 μs,0.4591 μs,0.4295 μs,2157.23 uj,17.53 uj,71.46 uj,50.03,0.8308,0,7.26 KB
STJRefGen_Deser_E100,15,20400,48.092 μs,0.3721 μs,0.3481 μs,1641.17 uj,14.22 uj,54.10 uj,50.03,0.8824,0,7.26 KB
STJRefGen_Deser_U100,15,15984,62.537 μs,0.5087 μs,0.4759 μs,2130.67 uj,18.18 uj,70.30 uj,50.3,0.8759,0,7.26 KB
STJRefGen_Deser_UE100,15,15600,63.884 μs,0.5221 μs,0.4884 μs,2177.35 uj,16.73 uj,71.62 uj,50.4,0.8333,0,7.26 KB
STJRefGen_Ser_A0,15,199632,4.947 μs,0.0355 μs,0.0332 μs,173.41 uj,1.37 uj,5.61 uj,51.77,0.4007,0,3.31 KB
STJRefGen_Ser_E5,15,112560,8.775 μs,0.0756 μs,0.0707 μs,303.35 uj,2.49 uj,9.84 uj,51.37,0.4264,0,3.48 KB
STJRefGen_Ser_U5,15,91344,10.558 μs,0.0874 μs,0.0817 μs,362.75 uj,2.75 uj,11.84 uj,51.53,0.4598,0,3.8 KB
STJRefGen_Ser_UE5,15,85712,11.027 μs,0.0889 μs,0.0831 μs,379.30 uj,3.01 uj,12.37 uj,50.9,0.455,0,3.8 KB
STJRefGen_Ser_E10,15,90656,10.885 μs,0.0889 μs,0.0831 μs,375.34 uj,2.88 uj,12.21 uj,51.03,0.4412,0,3.63 KB
STJRefGen_Ser_U10,15,77744,11.960 μs,0.1012 μs,0.0947 μs,411.69 uj,3.27 uj,13.49 uj,51.43,0.5145,0,4.23 KB
STJRefGen_Ser_UE10,15,79952,12.540 μs,0.1049 μs,0.0981 μs,430.77 uj,3.30 uj,14.07 uj,51.63,0.5128,0,4.23 KB
STJRefGen_Ser_E25,15,69744,14.110 μs,0.1190 μs,0.1113 μs,485.07 uj,3.86 uj,15.83 uj,50.97,0.4875,0,4.08 KB
STJRefGen_Ser_U25,15,61184,16.428 μs,0.1147 μs,0.1073 μs,564.02 uj,3.76 uj,18.53 uj,51.27,0.6865,0,5.63 KB
STJRefGen_Ser_UE25,15,67216,15.042 μs,0.1303 μs,0.1219 μs,519.47 uj,4.11 uj,17.00 uj,51.57,0.6844,0,5.63 KB
STJRefGen_Ser_E50,15,53232,18.409 μs,0.1627 μs,0.1522 μs,631.93 uj,5.10 uj,20.75 uj,50.8,0.5824,0,4.77 KB
STJRefGen_Ser_U50,15,44256,21.366 μs,0.1745 μs,0.1633 μs,735.59 uj,6.28 uj,24.00 uj,51.43,0.949,0,7.87 KB
STJRefGen_Ser_UE50,15,47216,21.364 μs,0.1958 μs,0.1831 μs,734.83 uj,6.35 uj,24.14 uj,51.3,0.9531,0,7.87 KB
STJRefGen_Ser_E100,15,34320,28.786 μs,0.2230 μs,0.2086 μs,987.50 uj,7.15 uj,32.41 uj,50.47,0.7576,0,6.26 KB
STJRefGen_Ser_U100,15,35456,28.350 μs,0.2196 μs,0.2054 μs,975.65 uj,7.37 uj,31.84 uj,51.67,1.523,0,12.59 KB
STJRefGen_Ser_UE100,15,33008,30.418 μs,0.2563 μs,0.2397 μs,1045.50 uj,8.20 uj,34.14 uj,51.3,1.5148,0,12.59 KB
STJSrcGen_Deser_A0,16,35648,9.841 μs,0.1863 μs,0.1830 μs,338.50 uj,6.18 uj,11.15 uj,50.53,0.8696,0,7.26 KB
STJSrcGen_Deser_E5,15,66640,14.982 μs,0.1172 μs,0.1096 μs,514.69 uj,3.72 uj,16.97 uj,50.53,0.8854,0.015,7.26 KB
STJSrcGen_Deser_U5,15,58128,17.051 μs,0.1118 μs,0.1046 μs,585.68 uj,3.91 uj,19.17 uj,50.7,0.8774,0.0172,7.26 KB
STJSrcGen_Deser_UE5,15,59264,16.643 μs,0.1365 μs,0.1277 μs,571.31 uj,4.26 uj,18.67 uj,50.77,0.8774,0.0169,7.26 KB
STJSrcGen_Deser_E10,15,56608,17.593 μs,0.1290 μs,0.1207 μs,603.94 uj,4.13 uj,19.87 uj,50.37,0.8833,0.0177,7.26 KB
STJSrcGen_Deser_U10,15,49088,20.310 μs,0.1571 μs,0.1470 μs,697.18 uj,5.03 uj,22.79 uj,50.73,0.876,0.0204,7.26 KB
STJSrcGen_Deser_UE10,15,48352,20.475 μs,0.1793 μs,0.1677 μs,702.83 uj,5.62 uj,23.02 uj,50.5,0.8686,0.0207,7.26 KB
STJSrcGen_Deser_E25,15,42672,23.145 μs,0.1826 μs,0.1708 μs,794.34 uj,5.88 uj,26.15 uj,50.23,0.8671,0,7.26 KB
STJSrcGen_Deser_U25,15,28512,34.899 μs,0.2628 μs,0.2458 μs,1197.12 uj,8.32 uj,39.32 uj,50.23,0.8768,0,7.26 KB
STJSrcGen_Deser_UE25,15,29328,33.897 μs,0.2569 μs,0.2403 μs,1154.34 uj,8.43 uj,38.18 uj,50.63,0.8865,0,7.26 KB
STJSrcGen_Deser_E50,15,22944,43.470 μs,0.2831 μs,0.2649 μs,1471.82 uj,12.96 uj,48.92 uj,49.77,0.8717,0,7.26 KB
STJSrcGen_Deser_U50,15,15488,64.389 μs,0.5111 μs,0.4780 μs,2172.40 uj,19.65 uj,72.20 uj,49.73,0.8394,0,7.26 KB
STJSrcGen_Deser_UE50,15,15456,64.080 μs,0.4096 μs,0.3831 μs,2159.31 uj,13.81 uj,71.84 uj,49.87,0.8411,0,7.26 KB
STJSrcGen_Deser_E100,15,20592,47.622 μs,0.3586 μs,0.3355 μs,1617.45 uj,12.95 uj,53.50 uj,49.7,0.8741,0,7.26 KB
STJSrcGen_Deser_U100,15,15568,64.264 μs,0.5292 μs,0.4950 μs,2198.56 uj,16.53 uj,72.05 uj,50.23,0.835,0,7.26 KB
STJSrcGen_Deser_UE100,15,15168,65.558 μs,0.4338 μs,0.4057 μs,2235.23 uj,16.87 uj,73.45 uj,50.4,0.8571,0,7.26 KB
STJSrcGen_Ser_A0,15,277968,3.590 μs,0.0262 μs,0.0245 μs,125.14 uj,0.92 uj,4.04 uj,51.67,0.3669,0,3.01 KB
STJSrcGen_Ser_E5,15,140448,7.101 μs,0.0493 μs,0.0462 μs,244.52 uj,1.57 uj,7.99 uj,51.27,0.3845,0,3.18 KB
STJSrcGen_Ser_U5,15,116064,8.603 μs,0.0608 μs,0.0569 μs,295.42 uj,1.94 uj,9.69 uj,51.57,0.4222,0,3.5 KB
STJSrcGen_Ser_UE5,15,115328,8.674 μs,0.0583 μs,0.0545 μs,299.27 uj,2.06 uj,9.82 uj,51.47,0.4249,0,3.5 KB
STJSrcGen_Ser_E10,15,115344,8.642 μs,0.0856 μs,0.0800 μs,297.80 uj,2.66 uj,9.70 uj,51.6,0.3988,0,3.32 KB
STJSrcGen_Ser_U10,15,93424,10.702 μs,0.0681 μs,0.0637 μs,368.24 uj,2.22 uj,12.09 uj,51.57,0.471,0,3.93 KB
STJSrcGen_Ser_UE10,15,92576,10.775 μs,0.0750 μs,0.0702 μs,370.06 uj,2.39 uj,12.16 uj,51.6,0.4753,0,3.93 KB
STJSrcGen_Ser_E25,15,91936,10.860 μs,0.0943 μs,0.0882 μs,374.74 uj,3.00 uj,12.18 uj,51.4,0.4568,0,3.77 KB
STJSrcGen_Ser_U25,15,67408,14.804 μs,0.1336 μs,0.1250 μs,508.54 uj,4.26 uj,16.60 uj,51.5,0.6379,0,5.32 KB
STJSrcGen_Ser_UE25,15,76384,13.181 μs,0.1166 μs,0.1090 μs,453.20 uj,3.85 uj,14.86 uj,51.43,0.6415,0,5.32 KB
STJSrcGen_Ser_E50,15,64336,15.420 μs,0.1250 μs,0.1169 μs,529.42 uj,3.91 uj,17.40 uj,50.8,0.544,0,4.47 KB
STJSrcGen_Ser_U50,15,54272,18.464 μs,0.1671 μs,0.1563 μs,634.16 uj,5.33 uj,20.69 uj,51.4,0.9213,0,7.56 KB
STJSrcGen_Ser_UE50,15,51968,19.316 μs,0.1392 μs,0.1302 μs,663.98 uj,4.28 uj,21.83 uj,51,0.9236,0,7.56 KB
STJSrcGen_Ser_E100,15,39200,25.504 μs,0.2040 μs,0.1909 μs,874.87 uj,6.26 uj,28.74 uj,50.47,0.7143,0,5.95 KB
STJSrcGen_Ser_U100,15,40368,24.882 μs,0.1725 μs,0.1613 μs,863.21 uj,7.19 uj,27.91 uj,51.77,1.4863,0,12.28 KB
STJSrcGen_Ser_UE100,15,40288,24.913 μs,0.1765 μs,0.1651 μs,857.19 uj,5.60 uj,27.94 uj,51.8,1.4893,0,12.28 KB
Newtonsoft_Deser_A0,15,50832,19.775 μs,0.1467 μs,0.1372 μs,678.92 uj,4.87 uj,22.52 uj,50.17,1.8886,0.0393,15.45 KB
Newtonsoft_Deser_E5,15,49056,20.481 μs,0.1940 μs,0.1814 μs,703.42 uj,6.25 uj,23.43 uj,50.43,2.1608,0.0815,17.82 KB
Newtonsoft_Deser_U5,15,46528,21.551 μs,0.1687 μs,0.1578 μs,739.77 uj,5.35 uj,24.55 uj,50.87,2.2567,0.086,18.46 KB
Newtonsoft_Deser_UE5,15,46816,21.396 μs,0.1431 μs,0.1338 μs,734.41 uj,4.59 uj,24.09 uj,50.7,2.2428,0.0854,18.46 KB
Newtonsoft_Deser_E10,15,45904,21.885 μs,0.1621 μs,0.1517 μs,751.08 uj,5.06 uj,24.57 uj,50.4,2.2002,0.1307,18.1 KB
Newtonsoft_Deser_U10,15,44240,22.733 μs,0.1863 μs,0.1743 μs,780.17 uj,5.97 uj,25.61 uj,50.8,2.3508,0.0678,19.32 KB
Newtonsoft_Deser_UE10,15,43120,23.268 μs,0.1940 μs,0.1814 μs,798.83 uj,6.15 uj,26.15 uj,50.5,2.3423,0.0464,19.32 KB
Newtonsoft_Deser_E25,15,40976,24.530 μs,0.1622 μs,0.1518 μs,842.02 uj,5.22 uj,27.88 uj,50.53,2.3184,0.122,19.01 KB
Newtonsoft_Deser_U25,15,35408,28.353 μs,0.2226 μs,0.2082 μs,972.73 uj,7.06 uj,31.89 uj,50.33,2.683,0.1695,22.1 KB
Newtonsoft_Deser_UE25,100,5472,29.601 μs,0.8901 μs,2.6245 μs,1014.54 uj,88.62 uj,33.45 uj,50.58,2.5585,0,22.1 KB
Newtonsoft_Deser_E50,15,36736,27.355 μs,0.2295 μs,0.2147 μs,938.69 uj,7.43 uj,31.17 uj,50.5,2.4771,0.0817,20.4 KB
Newtonsoft_Deser_U50,15,22720,42.093 μs,0.2948 μs,0.2757 μs,1443.11 uj,9.39 uj,47.23 uj,50.3,3.213,0.1761,26.59 KB
Newtonsoft_Deser_UE50,15,24048,41.729 μs,0.3048 μs,0.2851 μs,1429.13 uj,9.73 uj,47.37 uj,50.53,3.2435,0.1663,26.59 KB
Newtonsoft_Deser_E100,15,32752,30.662 μs,0.2699 μs,0.2524 μs,1052.09 uj,8.45 uj,34.64 uj,50.47,2.8395,0.1832,23.36 KB
Newtonsoft_Deser_U100,15,17504,54.630 μs,0.3719 μs,0.3479 μs,1872.64 uj,12.44 uj,62.19 uj,50.27,4.856,0.5142,40.05 KB
Newtonsoft_Deser_UE100,15,19200,52.388 μs,0.4476 μs,0.4187 μs,1788.16 uj,13.39 uj,59.51 uj,50.5,4.8438,0.5208,40.05 KB
Newtonsoft_Ser_A0,15,83808,12.007 μs,0.0847 μs,0.0793 μs,412.51 uj,2.71 uj,13.81 uj,50.7,2.2313,0.0716,18.27 KB
Newtonsoft_Ser_E5,15,70256,14.304 μs,0.1099 μs,0.1028 μs,491.22 uj,3.49 uj,16.46 uj,50.83,2.2632,0.0569,18.55 KB
Newtonsoft_Ser_U5,15,74848,13.048 μs,0.1056 μs,0.0988 μs,447.65 uj,3.35 uj,14.91 uj,50.63,2.2445,0.0668,18.39 KB
Newtonsoft_Ser_UE5,15,71616,13.175 μs,0.1109 μs,0.1038 μs,452.25 uj,3.50 uj,15.09 uj,50.63,2.2481,0.0698,18.39 KB
Newtonsoft_Ser_E10,15,61296,16.399 μs,0.1339 μs,0.1252 μs,562.96 uj,4.34 uj,18.82 uj,50.83,2.3003,0.0653,18.86 KB
Newtonsoft_Ser_U10,15,70128,13.251 μs,0.1193 μs,0.1116 μs,454.73 uj,3.77 uj,15.11 uj,50.67,2.253,0.0713,18.48 KB
Newtonsoft_Ser_UE10,15,69984,13.554 μs,0.1287 μs,0.1204 μs,465.20 uj,4.15 uj,15.46 uj,50.73,2.2577,0.0714,18.48 KB
Newtonsoft_Ser_E25,15,49696,20.182 μs,0.1536 μs,0.1436 μs,694.02 uj,4.76 uj,22.94 uj,50.73,2.3946,0.0604,19.67 KB
Newtonsoft_Ser_U25,15,71888,13.952 μs,0.1138 μs,0.1064 μs,478.67 uj,3.50 uj,15.74 uj,50.7,2.2952,0.0278,18.83 KB
Newtonsoft_Ser_UE25,15,68640,13.502 μs,0.1106 μs,0.1035 μs,463.70 uj,3.74 uj,15.15 uj,50.73,2.3019,0.0291,18.83 KB
Newtonsoft_Ser_E50,15,34336,29.296 μs,0.2403 μs,0.2248 μs,1005.54 uj,7.74 uj,33.25 uj,50.6,2.5629,0.0582,21.02 KB
Newtonsoft_Ser_U50,15,56432,16.737 μs,0.1749 μs,0.1636 μs,572.40 uj,5.68 uj,19.24 uj,50.43,2.3745,0.0709,19.41 KB
Newtonsoft_Ser_UE50,15,60832,15.957 μs,0.1177 μs,0.1101 μs,547.42 uj,3.82 uj,18.41 uj,50.6,2.3672,0.0658,19.41 KB
Newtonsoft_Ser_E100,15,28880,34.823 μs,0.2509 μs,0.2347 μs,1194.61 uj,7.69 uj,39.56 uj,50.27,3.8781,0.2078,31.9 KB
Newtonsoft_Ser_U100,15,58464,16.877 μs,0.1549 μs,0.1449 μs,578.72 uj,4.94 uj,19.39 uj,50.37,2.4973,0.0513,20.52 KB
Newtonsoft_Ser_UE100,15,59008,16.744 μs,0.1606 μs,0.1502 μs,573.72 uj,5.29 uj,18.92 uj,50.33,2.5081,0.0508,20.52 KB
