LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,R50,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,R50,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,R50,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,R50,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,R50,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,R50,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,R50,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,R50,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,R50,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,R75,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,R75,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,R75,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,R75,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,R75,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,R75,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,R75,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,R75,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,R75,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,R75,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,R95,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,R95,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,R95,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,R95,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,R95,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,R95,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,R95,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,R95,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,R95,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,R95,All,1,1,L
