Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant,kw_p_adj
Escape,E100,Serialize,75,5,69.5042807017544,4,2.88827976634507e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE5,Deserialize,75,5,68.16196491228067,4,5.5448414055484874e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE5,Serialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE10,Deserialize,75,5,69.10301909517239,4,3.510169659462526e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE10,Serialize,75,5,68.06070038172462,4,5.824399739320814e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE25,Deserialize,160,5,110.45205000043944,4,5.828804193117086e-23,string_composition,TRUE,5.945380276979427e-21
UnicodeEscape,UE25,Serialize,160,5,107.26577510056644,4,2.78603805070463e-22,string_composition,TRUE,2.813898431211677e-20
UnicodeEscape,UE50,Deserialize,75,5,67.69712280701754,4,6.949305698518084e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE50,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE100,Deserialize,75,5,70.98975438596494,4,1.4028221216450564e-14,string_composition,TRUE,1.1853960153087787e-12
UnicodeEscape,UE100,Serialize,75,5,71.0556638263368,4,1.3585716315887764e-14,string_composition,TRUE,1.1853960153087787e-12
Integer,I2,Deserialize,75,5,70.48799165362546,4,1.7904539845012042e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I2,Serialize,75,5,71.06779540442481,4,1.3505800049544592e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I3,Deserialize,75,5,69.70844216816043,4,2.6154378487518228e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I3,Serialize,75,5,70.57236045315086,4,1.7184934985901605e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I5,Deserialize,75,5,71.06274007682455,4,1.3539044564541043e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I5,Serialize,75,5,71.06274007682455,4,1.3539044564541043e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I7,Deserialize,75,5,70.28701606631385,4,1.9742342804853578e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I7,Serialize,75,5,71.05768546838321,4,1.3572366099162224e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I10,Deserialize,75,5,69.24058861746983,4,3.283180225058067e-14,numeric,TRUE,1.1853960153087787e-12
Integer,I10,Serialize,75,5,71.06172909760848,4,1.3545702704558255e-14,numeric,TRUE,1.1853960153087787e-12
Float,F2,Deserialize,75,5,71.05364229932144,4,1.3599078893157954e-14,numeric,TRUE,1.1853960153087787e-12
Float,F2,Serialize,75,5,70.39386231945907,4,1.8742985501345768e-14,numeric,TRUE,1.1853960153087787e-12
Float,F3,Deserialize,75,5,69.05992963289613,4,3.584442329232277e-14,numeric,TRUE,1.1853960153087787e-12
Float,F3,Serialize,75,5,68.007984940516,4,5.975459252585983e-14,numeric,TRUE,1.1853960153087787e-12
Float,F5,Deserialize,75,5,71.05667463298052,4,1.3579039663125745e-14,numeric,TRUE,1.1853960153087787e-12
Float,F5,Serialize,75,5,68.52938822346769,4,4.638446419622402e-14,numeric,TRUE,1.1853960153087787e-12
Float,F7,Deserialize,75,5,71.0556638263368,4,1.3585716315887764e-14,numeric,TRUE,1.1853960153087787e-12
Float,F7,Serialize,75,5,70.68158980340831,4,1.6296044830777932e-14,numeric,TRUE,1.1853960153087787e-12
Float,F10,Deserialize,75,5,67.70290114850958,4,6.929831424013127e-14,numeric,TRUE,1.1853960153087787e-12
Float,F10,Serialize,76,5,71.88617597200195,4,9.070859066728898e-15,numeric,TRUE,8.254481750723297e-13
All,L5,Deserialize,75,5,71.06375108480698,4,1.3532389505307788e-14,string_length,TRUE,1.1853960153087787e-12
All,L5,Serialize,75,5,71.07386274705101,4,1.3466008062904981e-14,string_length,TRUE,1.1853960153087787e-12
All,L20,Deserialize,126,5,101.0262370340635,4,5.947702077870806e-21,string_length,TRUE,5.888225057092098e-19
All,L20,Serialize,75,5,70.22443752163379,4,2.0352197920817457e-14,string_length,TRUE,1.1853960153087787e-12
All,L50,Deserialize,75,5,63.50680701754385,4,5.307970616555043e-13,string_length,TRUE,1.1853960153087787e-12
All,L50,Serialize,75,5,69.36449122807016,4,3.091322309425882e-14,string_length,TRUE,1.1853960153087787e-12
All,L200,Deserialize,75,5,68.74231117559756,4,4.182597178728682e-14,string_length,TRUE,1.1853960153087787e-12
All,L200,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_length,TRUE,1.1853960153087787e-12
All,L500,Deserialize,75,5,67.50568421052634,4,7.626359125080051e-14,string_length,TRUE,1.1853960153087787e-12
All,L500,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_length,TRUE,1.1853960153087787e-12
All,L2000,Deserialize,126,5,93.94788833214028,4,1.907570865492844e-19,string_length,TRUE,1.8312680308731303e-17
All,L2000,Serialize,135,5,122.34939865738522,4,1.6818193433879455e-25,string_length,TRUE,1.7827285039912223e-23
All,L10000,Deserialize,173,5,148.8795557420022,4,3.5384709743540666e-31,string_length,TRUE,3.786163942558851e-29
All,L10000,Serialize,142,5,112.12704475283113,4,2.5602370130406665e-23,string_length,TRUE,2.6370441234318866e-21
