LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W20,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W20,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W20,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W20,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W20,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W50,All,0.8844444444444445,0.8844444444444445,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W50,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W50,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W50,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W50,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W50,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W50,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W50,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W50,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W50,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W100,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W100,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W100,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W100,All,-0.8755555555555555,0.8755555555555555,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W100,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W100,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W100,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W100,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W100,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W100,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W200,All,-0.5288888888888889,0.5288888888888889,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W200,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W200,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W200,All,-0.7777777777777778,0.7777777777777778,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W200,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W200,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W200,All,-0.76,0.76,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W200,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W200,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W200,All,1,1,L
