LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C10,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C10,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C10,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C100,All,0.8844444444444445,0.8844444444444445,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C100,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C100,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C100,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C100,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C100,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C100,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C100,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C100,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C100,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C1K,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C1K,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C1K,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C1K,All,-0.9428571428571428,0.9428571428571428,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C1K,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C1K,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C1K,All,0.580952380952381,0.580952380952381,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C1K,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C1K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C1K,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C10K,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C10K,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C10K,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C10K,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C10K,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C10K,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C10K,All,-0.875,0.875,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C10K,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C10K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C10K,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C100K,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C100K,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C100K,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C100K,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C100K,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C100K,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C100K,All,0.9904761904761905,0.9904761904761905,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C100K,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C100K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C100K,All,1,1,L
