LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E10,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E10,Escape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E10,Escape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E10,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E10,Escape,-0.8844444444444445,0.8844444444444445,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E10,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E10,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E25,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E25,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E25,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E25,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E25,Escape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E25,Escape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E25,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E25,Escape,-0.8844444444444445,0.8844444444444445,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E25,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E25,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E50,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E50,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E50,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E50,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E50,Escape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E50,Escape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E50,Escape,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E50,Escape,1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E50,Escape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E50,Escape,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E100,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E100,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E100,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E100,Escape,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E100,Escape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E100,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E100,Escape,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E100,Escape,-0.8755555555555555,0.8755555555555555,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E100,Escape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E100,Escape,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,UnicodeEscape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,UnicodeEscape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,UnicodeEscape,0.55,0.55,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE5,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE5,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE5,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE5,UnicodeEscape,0.8755555555555555,0.8755555555555555,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE5,UnicodeEscape,-0.76,0.76,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE5,UnicodeEscape,-0.9644444444444444,0.9644444444444444,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE10,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE10,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE10,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE10,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE10,UnicodeEscape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE10,UnicodeEscape,-0.6711111111111111,0.6711111111111111,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE25,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE25,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE25,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE25,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE25,UnicodeEscape,0.8844444444444445,0.8844444444444445,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE25,UnicodeEscape,-0.8755555555555555,0.8755555555555555,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE25,UnicodeEscape,-0.94,0.94,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE25,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE25,UnicodeEscape,-0.94,0.94,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE25,UnicodeEscape,-0.94,0.94,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE50,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE50,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE50,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE50,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE50,UnicodeEscape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE50,UnicodeEscape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE50,UnicodeEscape,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE50,UnicodeEscape,0.23555555555555555,0.23555555555555555,S
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE50,UnicodeEscape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE50,UnicodeEscape,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE100,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE100,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE100,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE100,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE100,UnicodeEscape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE100,UnicodeEscape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE100,UnicodeEscape,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE100,UnicodeEscape,0.9911111111111112,0.9911111111111112,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE100,UnicodeEscape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE100,UnicodeEscape,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,A0,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,A0,Unicode,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,A0,Unicode,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,A0,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,A0,Unicode,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,A0,Unicode,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,A0,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,A0,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,A0,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,A0,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,U5,Unicode,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,U5,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,U5,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,U5,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,U5,Unicode,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,U5,Unicode,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,U5,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,U5,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,U5,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,U5,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,U10,Unicode,0.24444444444444444,0.24444444444444444,S
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,U10,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,U10,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,U10,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,U10,Unicode,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,U10,Unicode,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,U10,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,U10,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,U10,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,U10,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,U25,Unicode,-0.29777777777777775,0.29777777777777775,S
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,U25,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,U25,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,U25,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,U25,Unicode,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,U25,Unicode,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,U25,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,U25,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,U25,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,U25,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,U50,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,U50,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,U50,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,U50,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,U50,Unicode,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,U50,Unicode,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,U50,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,U50,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,U50,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,U50,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,U100,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,U100,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,U100,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,U100,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,U100,Unicode,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,U100,Unicode,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,U100,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,U100,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,U100,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,U100,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,A0,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,A0,Escape,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,A0,Escape,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,A0,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,A0,Escape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,A0,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,A0,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,A0,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,A0,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,A0,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,E5,Escape,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,E5,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,E5,Escape,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,E5,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,E5,Escape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,E5,Escape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,E5,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,E5,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,E5,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,E5,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,E10,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,E10,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,E10,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,E10,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,E10,Escape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,E10,Escape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,E10,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,E10,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,E10,Escape,1,1,L
