Library,Operation,Dimension,n_cells,mean_rank,median_rank,pct_rank_1,pct_rank_5,mean_ratio
STJRefGen,Serialize,Depth,7,2,2,0,0,1.3617798017988014
STJRefGen,Serialize,Numeric (Float),5,4,4,0,0,1.3132633494155255
STJRefGen,Serialize,Numeric (Int),5,4,4,0,0,1.8873582867111207
STJRefGen,Serialize,Size,5,2,2,0,0,1.5119934807629427
STJRefGen,Serialize,StrComp (Esc),6,3.1666666666666665,3.5,0,0,1.3373352255119995
STJRefGen,Serialize,StrComp (Uni),6,4.166666666666667,4.5,0,50,2.0880897466746036
STJRefGen,Serialize,StrComp (UE),6,4.166666666666667,4.5,0,50,2.087924227387705
STJRefGen,Serialize,String Length,7,2.2857142857142856,2,0,0,1.2898760822239834
STJRefGen,Serialize,Width,7,2.2857142857142856,2,0,0,1.5524406363586727
STJSrcGen,Deserialize,Depth,7,2.4285714285714284,2,0,0,1.3600773185190083
STJSrcGen,Deserialize,Numeric (Float),5,3.2,3,0,0,1.6823091047123369
STJSrcGen,Deserialize,Numeric (Int),5,3.4,3,0,0,2.6797890236051916
STJSrcGen,Deserialize,Size,5,2.2,2,0,0,1.2590317931309967
STJSrcGen,Deserialize,StrComp (Esc),6,3.5,3,0,16.666666666666664,1.5730037048992744
STJSrcGen,Deserialize,StrComp (Uni),6,3.1666666666666665,3,0,0,1.8090199268629747
STJSrcGen,Deserialize,StrComp (UE),6,3.1666666666666665,3,0,0,1.8375049166148805
STJSrcGen,Deserialize,String Length,7,1.8571428571428572,2,42.857142857142854,0,1.139032040329159
STJSrcGen,Deserialize,Width,7,2.7142857142857144,3,0,0,1.6488640135360706
STJSrcGen,Serialize,Depth,7,1,1,100,0,1
STJSrcGen,Serialize,Numeric (Float),5,2.2,2,20,0,1.05980431076146
STJSrcGen,Serialize,Numeric (Int),5,1.8,2,40,0,1.1758170588622638
STJSrcGen,Serialize,Size,5,1,1,100,0,1
STJSrcGen,Serialize,StrComp (Esc),6,1.6666666666666667,1.5,50,0,1.0692762743757207
STJSrcGen,Serialize,StrComp (Uni),6,3.1666666666666665,3.5,16.666666666666664,0,1.7903218334863906
STJSrcGen,Serialize,StrComp (UE),6,3,3,16.666666666666664,0,1.742963514575063
STJSrcGen,Serialize,String Length,7,1.2857142857142858,1,85.71428571428571,0,1.032352708106635
STJSrcGen,Serialize,Width,7,1.1428571428571428,1,85.71428571428571,0,1.003116507148765
Newtonsoft,Deserialize,Depth,7,5,5,0,100,2.621843150665191
Newtonsoft,Deserialize,Numeric (Float),5,5,5,0,100,3.378830412957279
Newtonsoft,Deserialize,Numeric (Int),5,5,5,0,100,5.58227179461593
Newtonsoft,Deserialize,Size,5,5,5,0,100,2.394409213846952
Newtonsoft,Deserialize,StrComp (Esc),6,3.8333333333333335,5,16.666666666666664,66.66666666666666,1.747039066828901
Newtonsoft,Deserialize,StrComp (Uni),6,3.5,3.5,0,50,1.9054984814433258
Newtonsoft,Deserialize,StrComp (UE),6,3.5,3.5,0,50,1.9335512057644066
Newtonsoft,Deserialize,String Length,7,5,5,0,100,6.438644189664335
Newtonsoft,Deserialize,Width,7,4.714285714285714,5,0,85.71428571428571,2.6570789671580406
Newtonsoft,Serialize,Depth,7,4.571428571428571,5,0,71.42857142857143,3.164959653178847
Newtonsoft,Serialize,Numeric (Float),5,5,5,0,100,1.9782744977435955
Newtonsoft,Serialize,Numeric (Int),5,5,5,0,100,5.0112834751325845
Newtonsoft,Serialize,Size,5,3.8,4,0,20,3.3027091675848306
Newtonsoft,Serialize,StrComp (Esc),6,4.833333333333333,5,0,83.33333333333334,2.187956277507698
Newtonsoft,Serialize,StrComp (Uni),6,4,4,0,50,2.1063181290459325
Newtonsoft,Serialize,StrComp (UE),6,4.166666666666667,4.5,0,50,2.0654760617664634
Newtonsoft,Serialize,String Length,7,3.5714285714285716,3,0,28.57142857142857,6.162197517860516
Newtonsoft,Serialize,Width,7,4.571428571428571,5,0,71.42857142857143,3.3228459276601297
