Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
Newtonsoft_Ser_D10_W5_B,15,236720,"4,208.53 ns",20.125 ns,18.825 ns,145.25 uj,0.65 uj,4.85 uj,50,0.8153,0.0042,6840 B
Newtonsoft_Ser_D10_W5_N,15,195920,"5,106.56 ns",23.608 ns,22.083 ns,175.43 uj,0.75 uj,5.75 uj,49.83,0.832,0.0051,6992 B
Newtonsoft_Ser_D10_W5_T,15,203696,"4,901.89 ns",21.925 ns,20.509 ns,168.47 uj,0.70 uj,5.51 uj,50,0.7168,0.0049,6032 B
Newtonsoft_Ser_D20_W100_B,15,6765,"148,128.40 ns",939.208 ns,878.536 ns,5085.57 uj,30.71 uj,168.56 uj,49.47,23.9468,3.1042,201552 B
Newtonsoft_Ser_D20_W100_N,15,5059,"198,272.31 ns","1,851.439 ns","1,731.838 ns",6802.32 uj,59.48 uj,224.28 uj,49.5,24.3131,0,204576 B
Newtonsoft_Ser_D20_W100_T,15,5716,"175,532.11 ns","1,318.503 ns","1,233.328 ns",6024.14 uj,43.53 uj,200.24 uj,49.47,18.7194,2.9741,157056 B
Newtonsoft_Ser_D20_W20_B,15,33296,"28,229.82 ns",198.269 ns,185.461 ns,972.61 uj,6.63 uj,32.44 uj,49.87,5.4061,0.3304,45304 B
Newtonsoft_Ser_D20_W20_N,15,29776,"33,623.52 ns",189.730 ns,177.473 ns,1153.82 uj,5.85 uj,37.76 uj,49.8,5.4742,0.3358,45960 B
Newtonsoft_Ser_D20_W20_T,15,33712,"29,786.73 ns",134.127 ns,125.462 ns,1022.54 uj,4.31 uj,34.04 uj,49.63,4.3901,0.178,36840 B
Newtonsoft_Ser_D20_W50_B,15,14464,"70,017.54 ns",351.154 ns,328.469 ns,2405.46 uj,13.70 uj,81.46 uj,49.43,12.099,0.9679,101832 B
Newtonsoft_Ser_D20_W50_N,15,10496,"90,555.27 ns",523.303 ns,489.498 ns,3107.72 uj,16.57 uj,104.14 uj,49.37,12.2904,1.1433,103432 B
Newtonsoft_Ser_D20_W50_T,15,13424,"75,391.67 ns",372.592 ns,348.523 ns,2589.70 uj,12.32 uj,85.05 uj,49.57,9.4607,0.8939,79912 B
Newtonsoft_Ser_D20_W5_B,15,123664,"8,076.75 ns",35.893 ns,33.574 ns,277.67 uj,1.13 uj,9.06 uj,49.8,1.5364,0.0243,12912 B
Newtonsoft_Ser_D20_W5_N,15,98208,"10,186.55 ns",45.602 ns,42.656 ns,349.82 uj,1.50 uj,11.69 uj,49.6,1.5681,0.0204,13128 B
Newtonsoft_Ser_D20_W5_T,15,103184,"9,676.28 ns",43.217 ns,40.425 ns,332.41 uj,1.35 uj,11.05 uj,49.3,1.3374,0.0194,11208 B
Newtonsoft_Ser_D2_W100_B,15,60803,"16,492.05 ns",92.974 ns,86.968 ns,566.19 uj,3.22 uj,18.72 uj,49.5,2.7137,0.0329,22768 B
Newtonsoft_Ser_D2_W100_N,15,48417,"20,581.70 ns",50.963 ns,47.671 ns,706.07 uj,1.49 uj,23.13 uj,49.33,2.747,0.0826,23144 B
Newtonsoft_Ser_D2_W100_T,15,49981,"19,738.44 ns",143.994 ns,134.692 ns,677.42 uj,4.49 uj,22.18 uj,49.67,2.1808,0.06,18392 B
Newtonsoft_Ser_D2_W20_B,15,326256,"3,017.93 ns",17.585 ns,16.449 ns,104.21 uj,0.78 uj,3.44 uj,49.8,0.6743,0.0061,5664 B
Newtonsoft_Ser_D2_W20_N,15,261456,"3,840.22 ns",22.248 ns,20.811 ns,131.98 uj,0.73 uj,4.38 uj,49.63,0.6923,0.0038,5816 B
Newtonsoft_Ser_D2_W20_T,15,287056,"3,439.57 ns",17.518 ns,16.386 ns,118.24 uj,0.57 uj,3.94 uj,49.73,0.5853,0,4904 B
Newtonsoft_Ser_D2_W50_B,15,134016,"7,450.98 ns",49.532 ns,46.332 ns,256.05 uj,1.60 uj,8.59 uj,49.57,1.4103,0.0149,11840 B
Newtonsoft_Ser_D2_W50_N,15,99712,"9,982.87 ns",45.839 ns,42.878 ns,342.80 uj,1.49 uj,11.22 uj,49.77,1.4442,0.0201,12080 B
Newtonsoft_Ser_D2_W50_T,15,114112,"8,786.35 ns",42.452 ns,39.710 ns,301.67 uj,1.34 uj,10.01 uj,49.53,1.1568,0.0175,9728 B
Newtonsoft_Ser_D2_W5_B,15,1060480,937.04 ns,5.093 ns,4.764 ns,32.48 uj,0.17 uj,1.07 uj,49.67,0.2376,0,1992 B
Newtonsoft_Ser_D2_W5_N,15,927728,"1,068.99 ns",5.454 ns,5.102 ns,36.85 uj,0.18 uj,1.22 uj,49.77,0.2501,0,2096 B
Newtonsoft_Ser_D2_W5_T,15,1004080,990.58 ns,4.545 ns,4.251 ns,34.17 uj,0.14 uj,1.15 uj,49.8,0.2271,0,1904 B
Newtonsoft_Ser_D5_W100_B,15,24998,"40,207.74 ns",364.804 ns,341.237 ns,1381.12 uj,12.39 uj,45.74 uj,49.4,6.0805,0.32,51168 B
Newtonsoft_Ser_D5_W100_N,15,19966,"50,435.47 ns",479.063 ns,448.116 ns,1730.93 uj,15.17 uj,56.64 uj,49.3,6.2106,0.3005,52008 B
Newtonsoft_Ser_D5_W100_T,15,20440,"49,224.57 ns",404.781 ns,378.632 ns,1689.14 uj,13.34 uj,55.28 uj,49.03,4.7945,0.2446,40128 B
Newtonsoft_Ser_D5_W20_B,15,140928,"7,058.15 ns",33.024 ns,30.891 ns,242.81 uj,1.23 uj,8.19 uj,49.57,1.3979,0.0213,11736 B
Newtonsoft_Ser_D5_W20_N,15,115712,"8,671.62 ns",55.938 ns,52.324 ns,297.81 uj,1.71 uj,9.96 uj,49.37,1.426,0.0173,11976 B
Newtonsoft_Ser_D5_W20_T,15,108000,"9,132.44 ns",43.338 ns,40.539 ns,313.69 uj,1.66 uj,10.49 uj,49.6,1.1574,0.0185,9696 B
Newtonsoft_Ser_D5_W50_B,15,56224,"17,791.91 ns",100.499 ns,94.007 ns,610.83 uj,3.31 uj,20.55 uj,49.53,3.1125,0.0889,26040 B
Newtonsoft_Ser_D5_W50_N,15,42960,"23,183.51 ns",131.328 ns,122.844 ns,795.59 uj,4.12 uj,26.32 uj,49.43,3.1425,0.0698,26488 B
Newtonsoft_Ser_D5_W50_T,15,49920,"19,768.01 ns",108.532 ns,101.521 ns,679.05 uj,3.52 uj,22.52 uj,49.1,2.4439,0.0601,20608 B
Newtonsoft_Ser_D5_W5_B,15,469824,"2,122.95 ns",9.807 ns,9.173 ns,73.12 uj,0.32 uj,2.45 uj,49.43,0.4214,0.0021,3528 B
Newtonsoft_Ser_D5_W5_N,15,419104,"2,387.63 ns",11.855 ns,11.089 ns,82.12 uj,0.36 uj,2.75 uj,49.43,0.4366,0,3656 B
Newtonsoft_Ser_D5_W5_T,15,448960,"2,185.44 ns",11.008 ns,10.297 ns,75.15 uj,0.35 uj,2.46 uj,49.63,0.3787,0,3176 B
STJRefGen_Deser_D10_W100_B,15,7008,"142,858.11 ns",646.342 ns,604.589 ns,4903.60 uj,20.66 uj,160.16 uj,50.47,0.4281,0,4488 B
STJRefGen_Deser_D10_W100_N,15,6336,"156,450.80 ns",698.985 ns,653.831 ns,5373.57 uj,21.95 uj,175.47 uj,50.43,0.7891,0,7448 B
STJRefGen_Deser_D10_W100_T,15,6192,"161,944.73 ns",903.359 ns,845.003 ns,5580.68 uj,32.67 uj,183.12 uj,49.97,5.0065,0.4845,43048 B
STJRefGen_Deser_D10_W20_B,15,72976,"13,734.80 ns",65.900 ns,61.643 ns,471.93 uj,2.19 uj,15.49 uj,50.1,0.4385,0,3688 B
STJRefGen_Deser_D10_W20_N,15,62928,"15,877.48 ns",89.819 ns,84.017 ns,552.42 uj,2.85 uj,17.92 uj,50.5,0.4926,0,4248 B
STJRefGen_Deser_D10_W20_T,15,53744,"18,681.42 ns",92.458 ns,86.486 ns,642.04 uj,2.85 uj,20.97 uj,50.3,1.3025,0.0372,11048 B
STJRefGen_Deser_D10_W50_B,15,28848,"34,732.63 ns",102.341 ns,95.730 ns,1193.29 uj,3.38 uj,39.07 uj,50.03,0.4506,0,4008 B
STJRefGen_Deser_D10_W50_N,15,24992,"40,146.34 ns",188.680 ns,176.492 ns,1382.04 uj,7.05 uj,45.20 uj,50.33,0.6402,0,5448 B
STJRefGen_Deser_D10_W50_T,15,21040,"47,531.79 ns",249.911 ns,233.767 ns,1632.91 uj,7.85 uj,53.57 uj,50.17,2.7091,0.1426,23048 B
STJRefGen_Deser_D10_W5_B,15,237072,"4,227.90 ns",27.011 ns,25.266 ns,145.29 uj,0.86 uj,4.75 uj,50.4,0.4176,0,3528 B
STJRefGen_Deser_D10_W5_N,15,212000,"4,723.46 ns",21.416 ns,20.033 ns,163.72 uj,0.97 uj,5.33 uj,50.4,0.4292,0,3608 B
STJRefGen_Deser_D10_W5_T,15,189072,"5,261.07 ns",25.408 ns,23.767 ns,181.12 uj,0.84 uj,6.01 uj,50.4,0.6029,0.0053,5048 B
STJRefGen_Deser_D20_W100_B,15,1728,"294,882.62 ns","3,157.458 ns","2,953.488 ns",10118.38 uj,101.82 uj,330.97 uj,50.1,0.5787,0,9376 B
STJRefGen_Deser_D20_W100_N,15,3552,"283,014.12 ns","1,297.437 ns","1,213.623 ns",9783.01 uj,64.21 uj,317.87 uj,50.17,1.6892,0,15296 B
STJRefGen_Deser_D20_W100_T,15,3104,"321,533.84 ns","1,745.240 ns","1,632.499 ns",11118.47 uj,58.34 uj,362.89 uj,50.03,10.3093,1.933,86496 B
STJRefGen_Deser_D20_W20_B,15,35744,"28,022.91 ns",108.940 ns,101.903 ns,963.19 uj,3.36 uj,31.61 uj,50.03,0.9232,0,7776 B
STJRefGen_Deser_D20_W20_N,15,30720,"32,605.67 ns",145.507 ns,136.108 ns,1121.45 uj,5.44 uj,36.57 uj,49.93,1.0417,0,8896 B
STJRefGen_Deser_D20_W20_T,15,25040,"38,024.16 ns",248.653 ns,232.590 ns,1307.01 uj,7.60 uj,43.23 uj,50.17,2.6757,0.1198,22496 B
STJRefGen_Deser_D20_W50_B,15,14576,"68,615.15 ns",435.484 ns,407.352 ns,2354.90 uj,13.67 uj,76.95 uj,49.93,0.9605,0,8416 B
STJRefGen_Deser_D20_W50_N,15,12208,"82,137.35 ns",384.053 ns,359.243 ns,2819.41 uj,12.65 uj,92.41 uj,50.13,1.3106,0,11296 B
STJRefGen_Deser_D20_W50_T,15,10480,"95,485.84 ns",508.451 ns,475.605 ns,3281.26 uj,15.02 uj,108.44 uj,50,5.5344,0.5725,46496 B
STJRefGen_Deser_D20_W5_B,15,120432,"8,334.59 ns",37.842 ns,35.397 ns,286.30 uj,1.18 uj,9.50 uj,49.93,0.8885,0.0083,7456 B
STJRefGen_Deser_D20_W5_N,15,106640,"9,414.90 ns",46.283 ns,43.294 ns,324.05 uj,1.60 uj,10.58 uj,50.1,0.9096,0.0094,7616 B
STJRefGen_Deser_D20_W5_T,15,95616,"10,470.04 ns",50.488 ns,47.227 ns,361.22 uj,1.66 uj,11.93 uj,50.2,1.2446,0.0314,10496 B
STJRefGen_Deser_D2_W100_B,15,37136,"26,050.93 ns",126.707 ns,118.522 ns,895.21 uj,4.04 uj,29.23 uj,50.17,0.0808,0,728 B
STJRefGen_Deser_D2_W100_N,15,35168,"28,504.59 ns",156.706 ns,146.583 ns,981.90 uj,5.14 uj,31.98 uj,50.17,0.1422,0,1320 B
STJRefGen_Deser_D2_W100_T,15,30928,"32,113.54 ns",145.149 ns,135.772 ns,1104.23 uj,4.93 uj,36.30 uj,50.03,1.0023,0,8440 B
STJRefGen_Deser_D2_W20_B,15,375072,"2,663.89 ns",14.050 ns,13.142 ns,91.63 uj,0.45 uj,3.01 uj,49.9,0.0667,0,568 B
STJRefGen_Deser_D2_W20_N,15,301952,"3,311.32 ns",17.048 ns,15.947 ns,114.09 uj,0.65 uj,3.72 uj,49.9,0.0795,0,680 B
STJRefGen_Deser_D2_W20_T,15,262784,"3,786.36 ns",20.680 ns,19.344 ns,130.36 uj,0.67 uj,4.30 uj,49.63,0.2435,0,2040 B
STJRefGen_Deser_D2_W50_B,15,149168,"6,694.65 ns",44.011 ns,41.168 ns,229.99 uj,1.43 uj,7.53 uj,50.13,0.0737,0,632 B
STJRefGen_Deser_D2_W50_N,15,124576,"8,023.10 ns",35.100 ns,32.832 ns,275.91 uj,1.05 uj,9.00 uj,50.07,0.1044,0,920 B
STJRefGen_Deser_D2_W50_T,15,105984,"9,432.13 ns",50.461 ns,47.201 ns,324.06 uj,1.67 uj,10.68 uj,49.93,0.5284,0,4440 B
STJRefGen_Deser_D2_W5_B,15,1226000,814.24 ns,4.484 ns,4.194 ns,28.10 uj,0.15 uj,0.93 uj,49.77,0.0636,0,536 B
STJRefGen_Deser_D2_W5_N,15,1060384,938.02 ns,4.376 ns,4.094 ns,32.41 uj,0.16 uj,1.06 uj,50.27,0.0651,0,552 B
STJRefGen_Deser_D2_W5_T,15,941216,"1,052.27 ns",5.466 ns,5.113 ns,36.35 uj,0.18 uj,1.20 uj,49.87,0.0999,0,840 B
STJRefGen_Deser_D5_W100_B,15,15360,"65,083.13 ns",335.130 ns,313.481 ns,2235.49 uj,10.40 uj,72.97 uj,50.1,0.1302,0,1112 B
STJRefGen_Deser_D5_W100_N,15,12720,"78,629.40 ns",438.091 ns,409.791 ns,2698.55 uj,13.88 uj,88.15 uj,49.7,0.2358,0,2592 B
STJRefGen_Deser_D5_W100_T,15,12448,"79,861.26 ns",369.060 ns,345.219 ns,2741.82 uj,11.77 uj,89.52 uj,49.83,2.41,0.1607,20392 B
STJRefGen_Deser_D5_W20_B,15,144944,"6,895.34 ns",29.053 ns,27.176 ns,236.83 uj,0.89 uj,7.73 uj,49.87,0.0828,0,712 B
STJRefGen_Deser_D5_W20_N,15,123680,"8,083.75 ns",36.284 ns,33.940 ns,277.69 uj,1.14 uj,9.07 uj,49.93,0.1132,0,992 B
STJRefGen_Deser_D5_W20_T,15,107072,"9,295.21 ns",48.037 ns,44.934 ns,319.16 uj,1.47 uj,10.52 uj,50.07,0.523,0,4392 B
STJRefGen_Deser_D5_W50_B,15,60128,"16,669.95 ns",79.293 ns,74.171 ns,572.69 uj,2.58 uj,18.73 uj,49.67,0.0998,0,872 B
STJRefGen_Deser_D5_W50_N,15,49632,"20,193.66 ns",92.565 ns,86.585 ns,694.84 uj,3.67 uj,22.71 uj,50.2,0.1813,0,1592 B
STJRefGen_Deser_D5_W50_T,15,41760,"23,883.08 ns",124.880 ns,116.812 ns,820.26 uj,4.00 uj,26.84 uj,49.5,1.2213,0.0239,10392 B
STJRefGen_Deser_D5_W5_B,15,504784,"1,982.74 ns",10.901 ns,10.197 ns,68.24 uj,0.34 uj,2.24 uj,50.03,0.0753,0,632 B
STJRefGen_Deser_D5_W5_N,15,440864,"2,270.80 ns",12.741 ns,11.918 ns,78.12 uj,0.41 uj,2.56 uj,49.93,0.0794,0,672 B
STJRefGen_Deser_D5_W5_T,15,392544,"2,534.64 ns",14.644 ns,13.698 ns,87.24 uj,0.48 uj,2.88 uj,49.9,0.1656,0,1392 B
STJRefGen_Ser_D10_W100_B,15,29872,"33,552.29 ns",188.865 ns,176.665 ns,1162.10 uj,7.06 uj,37.62 uj,50.23,1.9416,0,16480 B
STJRefGen_Ser_D10_W100_N,15,27360,"36,729.82 ns",176.466 ns,165.067 ns,1264.82 uj,6.67 uj,41.60 uj,50.23,2.0102,0,16976 B
STJRefGen_Ser_D10_W100_T,15,12688,"49,813.62 ns",743.060 ns,695.058 ns,1714.77 uj,24.07 uj,56.10 uj,50.07,1.9704,0,16976 B
STJRefGen_Ser_D10_W20_B,15,181664,"5,489.05 ns",33.822 ns,31.637 ns,190.29 uj,1.10 uj,6.25 uj,50.1,0.5835,0,4888 B
STJRefGen_Ser_D10_W20_N,15,153408,"6,457.60 ns",37.765 ns,35.326 ns,225.67 uj,1.21 uj,7.32 uj,50.33,0.5932,0,4976 B
STJRefGen_Ser_D10_W20_T,15,115776,"8,636.96 ns",57.913 ns,54.172 ns,297.76 uj,1.79 uj,9.79 uj,49.87,0.5873,0,4976 B
STJRefGen_Ser_D10_W50_B,15,69376,"14,204.53 ns",73.754 ns,68.990 ns,495.59 uj,3.16 uj,16.14 uj,50.07,1.0955,0,9232 B
STJRefGen_Ser_D10_W50_N,15,64336,"15,537.82 ns",77.204 ns,72.217 ns,547.50 uj,2.76 uj,17.49 uj,50.23,1.1191,0,9480 B
STJRefGen_Ser_D10_W50_T,15,47712,"20,975.05 ns",97.123 ns,90.849 ns,738.01 uj,3.52 uj,23.54 uj,50.17,1.1318,0,9480 B
STJRefGen_Ser_D10_W5_B,15,514688,"1,927.35 ns",10.035 ns,9.387 ns,66.68 uj,0.38 uj,2.18 uj,50.23,0.3284,0,2760 B
STJRefGen_Ser_D10_W5_N,15,469184,"2,113.61 ns",13.287 ns,12.429 ns,72.99 uj,0.39 uj,2.42 uj,50,0.3304,0,2776 B
STJRefGen_Ser_D10_W5_T,15,382528,"2,612.20 ns",13.118 ns,12.271 ns,90.22 uj,0.55 uj,2.98 uj,50.3,0.3294,0,2776 B
STJRefGen_Ser_D20_W100_B,15,12064,"83,091.10 ns",278.411 ns,260.426 ns,2870.36 uj,12.72 uj,93.16 uj,50.17,3.8959,0,33192 B
