Operation,Depth,Width,Content,MinEnergy,MaxEnergy,SpreadRatio,WinnerLibrary
Deserialize,5,50,Textual,506.1,1385.1,2.74,SpanJson
Deserialize,20,100,Textual,4615.6,12166.8,2.64,Utf8Json
Deserialize,10,100,Textual,2323.1,5837.4,2.51,Utf8Json
Deserialize,2,100,Textual,492.8,1205.4,2.45,Utf8Json
Deserialize,5,100,Textual,1219.4,2953.6,2.42,Utf8Json
Serialize,10,5,Boolean,13.1,150.1,11.5,SpanJson
Serialize,20,5,Boolean,25.7,286.7,11.14,SpanJson
Serialize,5,5,Boolean,7.4,75.6,10.22,SpanJson
Serialize,2,5,Boolean,3.3,33.6,10.19,SpanJson
Serialize,2,100,Boolean,64,584.9,9.13,SpanJson
Serialize,20,20,Boolean,111.9,1005.1,8.98,SpanJson
Serialize,10,20,Boolean,56,502.2,8.96,SpanJson
Serialize,5,100,Boolean,160.2,1426.9,8.9,SpanJson
Serialize,2,20,Boolean,12.1,107.6,8.89,SpanJson
Serialize,5,20,Boolean,28.4,251,8.85,SpanJson
Serialize,2,50,Boolean,30.1,264.6,8.78,SpanJson
Serialize,10,100,Boolean,311.4,2722.9,8.74,SpanJson
Serialize,20,50,Boolean,288.8,2486.9,8.61,SpanJson
Serialize,5,50,Boolean,74.4,631.4,8.49,SpanJson
Serialize,10,50,Boolean,148.8,1259.8,8.46,SpanJson
Serialize,20,100,Boolean,636.4,5254.1,8.26,SpanJson
Serialize,10,5,Numeric,27.9,181.2,6.49,SpanJson
Serialize,20,5,Numeric,56.3,361.5,6.42,SpanJson
Serialize,2,5,Numeric,6.7,38.1,5.71,SpanJson
Serialize,5,5,Numeric,15.1,84.9,5.61,SpanJson
Serialize,10,100,Numeric,665.4,3734.7,5.61,SpanJson
Serialize,5,100,Numeric,324.2,1787.6,5.51,SpanJson
Serialize,2,100,Numeric,134.4,729.2,5.42,SpanJson
Serialize,20,100,Numeric,1338.1,7026.6,5.25,SpanJson
Serialize,2,20,Numeric,27.7,136.4,4.92,SpanJson
Serialize,5,50,Numeric,172.7,821.9,4.76,STJSrcGen
Serialize,10,50,Numeric,347.4,1620,4.66,STJSrcGen
Serialize,20,5,Textual,73.9,343.5,4.65,SpanJson
Serialize,5,20,Numeric,66.9,307.8,4.6,SpanJson
Serialize,2,50,Numeric,77.5,354,4.57,STJSrcGen
Serialize,10,20,Numeric,133.4,605.9,4.54,SpanJson
Serialize,20,50,Numeric,720,3211.9,4.46,STJSrcGen
Serialize,10,5,Textual,39.4,174,4.42,SpanJson
Serialize,20,20,Numeric,270,1191.6,4.41,SpanJson
Serialize,5,100,Textual,416.9,1744.4,4.18,SpanJson
Serialize,2,100,Textual,170.5,699.6,4.1,SpanJson
Serialize,2,5,Textual,8.6,35.3,4.08,SpanJson
Serialize,10,100,Textual,867.2,3492.8,4.03,SpanJson
Serialize,5,5,Textual,19.6,77.6,3.96,SpanJson
Serialize,10,50,Textual,436.6,1695.1,3.88,SpanJson
Serialize,5,20,Textual,85.5,324.2,3.79,SpanJson
Serialize,2,50,Textual,82.9,311.7,3.76,SpanJson
Serialize,2,20,Textual,34.5,122.2,3.54,SpanJson
Serialize,5,50,Textual,208.8,701.6,3.36,SpanJson
Serialize,10,20,Textual,168.7,532.9,3.16,SpanJson
Serialize,20,50,Textual,875.8,2674.8,3.05,SpanJson
Serialize,20,20,Textual,352.6,1056.6,3,SpanJson
Serialize,20,100,Textual,2193.8,6224.4,2.84,SpanJson
