Library,Operation,Dimension,Content,FixedOther,from_level,to_level,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio,per_element_ratio,Transition
SpanJson,Deserialize,Depth,Textual,W=100,10,20,3090.4206666666664,6174.431333333334,309.04206666666664,308.7215666666667,2,1.9979258487140157,0.998962924357008,D10 -> D20
SpanJson,Deserialize,Depth,Numeric,W=5,2,5,10.846666666666668,25.845333333333333,5.423333333333334,5.169066666666667,2.5,2.38279041180086,0.9531161647203441,D2 -> D5
SpanJson,Deserialize,Depth,Numeric,W=5,5,10,25.845333333333333,51.102,5.169066666666667,5.1102,2,1.9772234832851836,0.9886117416425918,D5 -> D10
SpanJson,Deserialize,Depth,Numeric,W=5,10,20,51.102,102.09333333333333,5.1102,5.104666666666667,2,1.9978343965663445,0.9989171982831723,D10 -> D20
SpanJson,Deserialize,Depth,Numeric,W=20,2,5,42.605333333333334,105.19399999999999,21.302666666666667,21.0388,2.5,2.469033610815547,0.9876134443262189,D2 -> D5
SpanJson,Deserialize,Depth,Numeric,W=20,5,10,105.19399999999999,210.10066666666665,21.0388,21.010066666666667,2,1.997268538763301,0.9986342693816505,D5 -> D10
SpanJson,Deserialize,Depth,Numeric,W=20,10,20,210.10066666666665,420.2133333333333,21.010066666666667,21.010666666666665,2,2.0000571154779774,1.0000285577389885,D10 -> D20
SpanJson,Deserialize,Depth,Numeric,W=50,2,5,117.52866666666667,291.96933333333334,58.76433333333333,58.39386666666667,2.5,2.4842393061550943,0.9936957224620376,D2 -> D5
SpanJson,Deserialize,Depth,Numeric,W=50,5,10,291.96933333333334,583.268,58.39386666666667,58.326800000000006,2,1.9977029551048742,0.9988514775524371,D5 -> D10
SpanJson,Deserialize,Depth,Numeric,W=50,10,20,583.268,1166.5993333333333,58.326800000000006,58.329966666666664,2,2.0001085835899333,1.0000542917949666,D10 -> D20
SpanJson,Deserialize,Depth,Numeric,W=100,2,5,446.3913333333333,1092.3533333333332,223.19566666666665,218.47066666666666,2.5,2.447075585398163,0.9788302341592654,D2 -> D5
SpanJson,Deserialize,Depth,Numeric,W=100,5,10,1092.3533333333332,2227.3553333333334,218.47066666666666,222.73553333333334,2,2.0390429226196654,1.0195214613098327,D5 -> D10
SpanJson,Deserialize,Depth,Numeric,W=100,10,20,2227.3553333333334,4468.128,222.73553333333334,223.4064,2,2.006023885427052,1.003011942713526,D10 -> D20
SpanJson,Deserialize,Depth,Boolean,W=5,2,5,8.594,21.641333333333336,4.297,4.328266666666667,2.5,2.5181909859591967,1.0072763943836787,D2 -> D5
SpanJson,Deserialize,Depth,Boolean,W=5,5,10,21.641333333333336,45.82466666666667,4.328266666666667,4.582466666666667,2,2.1174604152547594,1.0587302076273797,D5 -> D10
SpanJson,Deserialize,Depth,Boolean,W=5,10,20,45.82466666666667,92.32866666666668,4.582466666666667,4.616433333333334,2,2.0148246213829526,1.0074123106914763,D10 -> D20
SpanJson,Deserialize,Depth,Boolean,W=20,2,5,31.58533333333333,84.04733333333333,15.792666666666666,16.809466666666665,2.5,2.660960783486006,1.0643843133944024,D2 -> D5
SpanJson,Deserialize,Depth,Boolean,W=20,5,10,84.04733333333333,175.202,16.809466666666665,17.5202,2,2.084563460272386,1.042281730136193,D5 -> D10
SpanJson,Deserialize,Depth,Boolean,W=20,10,20,175.202,347.432,17.5202,17.3716,2,1.9830367233250763,0.9915183616625382,D10 -> D20
SpanJson,Deserialize,Depth,Boolean,W=50,2,5,95.598,250.88533333333334,47.799,50.17706666666667,2.5,2.6243784737477074,1.049751389499083,D2 -> D5
SpanJson,Deserialize,Depth,Boolean,W=50,5,10,250.88533333333334,517.7873333333333,50.17706666666667,51.778733333333335,2,2.063840585871899,1.0319202929359494,D5 -> D10
SpanJson,Deserialize,Depth,Boolean,W=50,10,20,517.7873333333333,1030.8386666666668,51.778733333333335,51.54193333333334,2,1.9908533876842618,0.9954266938421309,D10 -> D20
SpanJson,Deserialize,Depth,Boolean,W=100,2,5,253.83866666666665,641.656,126.91933333333333,128.3312,2.5,2.5278103152133373,1.011124126085335,D2 -> D5
SpanJson,Deserialize,Depth,Boolean,W=100,5,10,641.656,1360.04,128.3312,136.004,2,2.119578091687758,1.059789045843879,D5 -> D10
SpanJson,Deserialize,Depth,Boolean,W=100,10,20,1360.04,2701.331333333333,136.004,135.06656666666666,2,1.9862146211385938,0.993107310569297,D10 -> D20
SpanJson,Serialize,Depth,Textual,W=5,2,5,8.649999999999999,19.612000000000002,4.324999999999999,3.9224000000000006,2.5,2.26728323699422,0.9069132947976881,D2 -> D5
SpanJson,Serialize,Depth,Textual,W=5,5,10,19.612000000000002,39.4,3.9224000000000006,3.94,2,2.0089740974913317,1.0044870487456659,D5 -> D10
SpanJson,Serialize,Depth,Textual,W=5,10,20,39.4,73.90533333333333,3.94,3.6952666666666665,2,1.8757698815566837,0.9378849407783417,D10 -> D20
SpanJson,Serialize,Depth,Textual,W=20,2,5,34.52733333333334,85.53666666666668,17.26366666666667,17.107333333333337,2.5,2.4773609314359635,0.9909443725743856,D2 -> D5
SpanJson,Serialize,Depth,Textual,W=20,5,10,85.53666666666668,168.732,17.107333333333337,16.8732,2,1.9726277230037799,0.9863138615018898,D5 -> D10
SpanJson,Serialize,Depth,Textual,W=20,10,20,168.732,352.59933333333333,16.8732,17.629966666666668,2,2.089700432243637,1.0448502161218185,D10 -> D20
SpanJson,Serialize,Depth,Textual,W=50,2,5,82.88,208.7853333333333,41.44,41.75706666666666,2.5,2.5191280566280567,1.0076512226512226,D2 -> D5
SpanJson,Serialize,Depth,Textual,W=50,5,10,208.7853333333333,436.57800000000003,41.75706666666666,43.6578,2,2.0910376846394065,1.0455188423197035,D5 -> D10
SpanJson,Serialize,Depth,Textual,W=50,10,20,436.57800000000003,875.8286666666667,43.6578,43.79143333333333,2,2.006121853750456,1.003060926875228,D10 -> D20
SpanJson,Serialize,Depth,Textual,W=100,2,5,170.46733333333333,416.8706666666667,85.23366666666666,83.37413333333333,2.5,2.4454577807673807,0.9781831123069523,D2 -> D5
SpanJson,Serialize,Depth,Textual,W=100,5,10,416.8706666666667,867.1913333333333,83.37413333333333,86.71913333333333,2,2.080240714146354,1.040120357073177,D5 -> D10
SpanJson,Serialize,Depth,Textual,W=100,10,20,867.1913333333333,2193.786666666667,86.71913333333333,109.68933333333334,2,2.5297608294055833,1.2648804147027914,D10 -> D20
SpanJson,Serialize,Depth,Numeric,W=5,2,5,6.665333333333334,15.126,3.332666666666667,3.0252,2.5,2.2693538707741547,0.9077415483096618,D2 -> D5
SpanJson,Serialize,Depth,Numeric,W=5,5,10,15.126,27.898666666666667,3.0252,2.7898666666666667,2,1.8444179999118517,0.9222089999559259,D5 -> D10
SpanJson,Serialize,Depth,Numeric,W=5,10,20,27.898666666666667,56.32,2.7898666666666667,2.816,2,2.018734467597018,1.009367233798509,D10 -> D20
SpanJson,Serialize,Depth,Numeric,W=20,2,5,27.708666666666666,66.934,13.854333333333333,13.3868,2.5,2.4156340976349155,0.9662536390539662,D2 -> D5
SpanJson,Serialize,Depth,Numeric,W=20,5,10,66.934,133.39533333333333,13.3868,13.339533333333332,2,1.9929383173474366,0.9964691586737183,D5 -> D10
SpanJson,Serialize,Depth,Numeric,W=20,10,20,133.39533333333333,270.008,13.339533333333332,13.500399999999999,2,2.024118784765084,1.012059392382542,D10 -> D20
SpanJson,Serialize,Depth,Numeric,W=50,2,5,80.172,207.11933333333334,40.086,41.42386666666667,2.5,2.5834372765221443,1.0333749106088577,D2 -> D5
SpanJson,Serialize,Depth,Numeric,W=50,5,10,207.11933333333334,374.49133333333333,41.42386666666667,37.449133333333336,2,1.8080945284361027,0.9040472642180515,D5 -> D10
SpanJson,Serialize,Depth,Numeric,W=50,10,20,374.49133333333333,883.2313333333334,37.449133333333336,44.16156666666667,2,2.3584827063198617,1.1792413531599308,D10 -> D20
SpanJson,Serialize,Depth,Numeric,W=100,2,5,134.42933333333335,324.18,67.21466666666667,64.836,2.5,2.411527246037571,0.9646108984150283,D2 -> D5
SpanJson,Serialize,Depth,Numeric,W=100,5,10,324.18,665.3833333333333,64.836,66.53833333333333,2,2.05251197894174,1.02625598947087,D5 -> D10
SpanJson,Serialize,Depth,Numeric,W=100,10,20,665.3833333333333,1338.1293333333333,66.53833333333333,66.90646666666666,2,2.011065300703855,1.0055326503519275,D10 -> D20
SpanJson,Serialize,Depth,Boolean,W=5,2,5,3.292666666666667,7.394666666666667,1.6463333333333334,1.4789333333333334,2.5,2.2457987446851586,0.8983194978740636,D2 -> D5
SpanJson,Serialize,Depth,Boolean,W=5,5,10,7.394666666666667,13.054666666666666,1.4789333333333334,1.3054666666666666,2,1.765416516408222,0.8827082582041109,D5 -> D10
SpanJson,Serialize,Depth,Boolean,W=5,10,20,13.054666666666666,25.737333333333332,1.3054666666666666,1.2868666666666666,2,1.9715044428556838,0.9857522214278419,D10 -> D20
SpanJson,Serialize,Depth,Boolean,W=20,2,5,12.106,28.37,6.053,5.674,2.5,2.343466049892615,0.9373864199570462,D2 -> D5
SpanJson,Serialize,Depth,Boolean,W=20,5,10,28.37,56.04,5.674,5.604,2,1.9753260486429325,0.9876630243214662,D5 -> D10
SpanJson,Serialize,Depth,Boolean,W=20,10,20,56.04,111.91666666666667,5.604,5.595833333333333,2,1.9970854151796338,0.9985427075898168,D10 -> D20
SpanJson,Serialize,Depth,Boolean,W=50,2,5,30.138666666666666,74.398,15.069333333333333,14.8796,2.5,2.4685232702176605,0.9874093080870643,D2 -> D5
SpanJson,Serialize,Depth,Boolean,W=50,5,10,74.398,148.84533333333334,14.8796,14.884533333333334,2,2.000663100262552,1.000331550131276,D5 -> D10
SpanJson,Serialize,Depth,Boolean,W=50,10,20,148.84533333333334,288.8453333333333,14.884533333333334,14.442266666666665,2,1.9405736603543722,0.9702868301771861,D10 -> D20
SpanJson,Serialize,Depth,Boolean,W=100,2,5,64.036,160.244,32.018,32.0488,2.5,2.5024048972452992,1.0009619588981198,D2 -> D5
SpanJson,Serialize,Depth,Boolean,W=100,5,10,160.244,311.36466666666666,32.0488,31.136466666666667,2,1.9430659910303454,0.9715329955151727,D5 -> D10
SpanJson,Serialize,Depth,Boolean,W=100,10,20,311.36466666666666,636.3706666666667,31.136466666666667,31.818533333333335,2,2.043811436536366,1.021905718268183,D10 -> D20
Utf8Json,Deserialize,Depth,Textual,W=5,2,5,24.088,57.288,12.044,11.4576,2.5,2.3782796413151774,0.951311856526071,D2 -> D5
Utf8Json,Deserialize,Depth,Textual,W=5,5,10,57.288,111.20400000000001,11.4576,11.1204,2,1.9411395056556349,0.9705697528278174,D5 -> D10
Utf8Json,Deserialize,Depth,Textual,W=5,10,20,111.20400000000001,217.40200000000002,11.1204,10.8701,2,1.9549836336822417,0.9774918168411209,D10 -> D20
Utf8Json,Deserialize,Depth,Textual,W=20,2,5,99.76466666666667,257.32666666666665,49.882333333333335,51.465333333333334,2.5,2.5793367057141134,1.0317346822856455,D2 -> D5
Utf8Json,Deserialize,Depth,Textual,W=20,5,10,257.32666666666665,491.07733333333334,51.465333333333334,49.107733333333336,2,1.908381046141092,0.9541905230705459,D5 -> D10
Utf8Json,Deserialize,Depth,Textual,W=20,10,20,491.07733333333334,983.7506666666667,49.107733333333336,49.187533333333334,2,2.003249997284881,1.0016249986424406,D10 -> D20
Utf8Json,Deserialize,Depth,Textual,W=50,2,5,244.89266666666666,637.2886666666667,122.44633333333333,127.45773333333334,2.5,2.602318294545366,1.0409273178181462,D2 -> D5
Utf8Json,Deserialize,Depth,Textual,W=50,5,10,637.2886666666667,1273.724,127.45773333333334,127.3724,2,1.9986609940236395,0.9993304970118199,D5 -> D10
Utf8Json,Deserialize,Depth,Textual,W=50,10,20,1273.724,2531.0053333333335,127.3724,126.55026666666667,2,1.9870908715964632,0.9935454357982316,D10 -> D20
Utf8Json,Deserialize,Depth,Textual,W=100,2,5,492.77066666666667,1219.4473333333333,246.38533333333334,243.88946666666666,2.5,2.474675170058824,0.9898700680235295,D2 -> D5
Utf8Json,Deserialize,Depth,Textual,W=100,5,10,1219.4473333333333,2323.096666666667,243.88946666666666,232.3096666666667,2,1.9050405894254832,0.9525202947127416,D5 -> D10
Utf8Json,Deserialize,Depth,Textual,W=100,10,20,2323.096666666667,4615.591333333333,232.3096666666667,230.77956666666665,2,1.9868270655977864,0.9934135327988933,D10 -> D20
Utf8Json,Deserialize,Depth,Numeric,W=5,2,5,14.56,35.266666666666666,7.28,7.053333333333333,2.5,2.422161172161172,0.9688644688644688,D2 -> D5
Utf8Json,Deserialize,Depth,Numeric,W=5,5,10,35.266666666666666,69.23133333333334,7.053333333333333,6.923133333333334,2,1.9630812854442345,0.9815406427221174,D5 -> D10
Utf8Json,Deserialize,Depth,Numeric,W=5,10,20,69.23133333333334,130.42466666666667,6.923133333333334,6.521233333333333,2,1.883896501584061,0.9419482507920304,D10 -> D20
Utf8Json,Deserialize,Depth,Numeric,W=20,2,5,59.272666666666666,131.99666666666667,29.636333333333333,26.399333333333335,2.5,2.2269399048465286,0.8907759619386114,D2 -> D5
Utf8Json,Deserialize,Depth,Numeric,W=20,5,10,131.99666666666667,272.75533333333334,26.399333333333335,27.275533333333335,2,2.066380464153135,1.0331902320765676,D5 -> D10
Utf8Json,Deserialize,Depth,Numeric,W=20,10,20,272.75533333333334,531.7326666666667,27.275533333333335,26.58663333333333,2,1.9494858640099917,0.9747429320049958,D10 -> D20
Utf8Json,Deserialize,Depth,Numeric,W=50,2,5,135.662,328.35133333333334,67.831,65.67026666666666,2.5,2.4203633540220055,0.9681453416088022,D2 -> D5
Utf8Json,Deserialize,Depth,Numeric,W=50,5,10,328.35133333333334,683.0306666666667,65.67026666666666,68.30306666666667,2,2.0801824062437184,1.0400912031218594,D5 -> D10
Utf8Json,Deserialize,Depth,Numeric,W=50,10,20,683.0306666666667,1351.0426666666667,68.30306666666667,67.55213333333333,2,1.9780117242173607,0.9890058621086802,D10 -> D20
Utf8Json,Deserialize,Depth,Numeric,W=100,2,5,280.38466666666665,690.9833333333333,140.19233333333332,138.19666666666666,2.5,2.464411986390126,0.9857647945560504,D2 -> D5
Utf8Json,Deserialize,Depth,Numeric,W=100,5,10,690.9833333333333,1401.3353333333334,138.19666666666666,140.13353333333333,2,2.028030584432813,1.0140152922164065,D5 -> D10
Utf8Json,Deserialize,Depth,Numeric,W=100,10,20,1401.3353333333334,2589.2586666666666,140.13353333333333,129.46293333333332,2,1.8477081145935565,0.9238540572967783,D10 -> D20
Utf8Json,Deserialize,Depth,Boolean,W=5,2,5,12.817333333333334,31.84466666666667,6.408666666666667,6.368933333333334,2.5,2.4845001560386977,0.993800062415479,D2 -> D5
Utf8Json,Deserialize,Depth,Boolean,W=5,5,10,31.84466666666667,61.584666666666664,6.368933333333334,6.1584666666666665,2,1.933908346766596,0.966954173383298,D5 -> D10
Utf8Json,Deserialize,Depth,Boolean,W=5,10,20,61.584666666666664,129.31933333333333,6.1584666666666665,6.465966666666667,2,2.0998625198913152,1.0499312599456574,D10 -> D20
Utf8Json,Deserialize,Depth,Boolean,W=20,2,5,50.478,116.52866666666667,25.239,23.305733333333333,2.5,2.3085040347610177,0.9234016139044071,D2 -> D5
Utf8Json,Deserialize,Depth,Boolean,W=20,5,10,116.52866666666667,245.26999999999998,23.305733333333333,24.526999999999997,2,2.104803968122293,1.0524019840611465,D5 -> D10
Utf8Json,Deserialize,Depth,Boolean,W=20,10,20,245.26999999999998,495.18333333333334,24.526999999999997,24.759166666666665,2,2.0189315176472187,1.0094657588236093,D10 -> D20
Utf8Json,Deserialize,Depth,Boolean,W=50,2,5,118.25,303.39,59.125,60.678,2.5,2.5656659619450317,1.0262663847780127,D2 -> D5
Utf8Json,Deserialize,Depth,Boolean,W=50,5,10,303.39,606.6753333333334,60.678,60.66753333333334,2,1.9996550095037193,0.9998275047518597,D5 -> D10
Utf8Json,Deserialize,Depth,Boolean,W=50,10,20,606.6753333333334,1202.1533333333334,60.66753333333334,60.107666666666674,2,1.9815431208125598,0.9907715604062799,D10 -> D20
Utf8Json,Deserialize,Depth,Boolean,W=100,2,5,242.34066666666666,608.7346666666667,121.17033333333333,121.74693333333335,2.5,2.5118964763102083,1.0047585905240832,D2 -> D5
Utf8Json,Deserialize,Depth,Boolean,W=100,5,10,608.7346666666667,1279.9613333333334,121.74693333333335,127.99613333333335,2,2.1026588486280833,1.0513294243140416,D5 -> D10
Utf8Json,Deserialize,Depth,Boolean,W=100,10,20,1279.9613333333334,2852.3486666666668,127.99613333333335,142.61743333333334,2,2.2284647140382363,1.1142323570191182,D10 -> D20
Utf8Json,Serialize,Depth,Textual,W=5,2,5,10.386666666666667,23.496666666666666,5.193333333333333,4.699333333333334,2.5,2.2621951219512195,0.9048780487804878,D2 -> D5
Utf8Json,Serialize,Depth,Textual,W=5,5,10,23.496666666666666,45.919333333333334,4.699333333333334,4.591933333333333,2,1.9542913888494822,0.9771456944247411,D5 -> D10
Utf8Json,Serialize,Depth,Textual,W=5,10,20,45.919333333333334,88.292,4.591933333333333,4.4146,2,1.9227631063168744,0.9613815531584372,D10 -> D20
Utf8Json,Serialize,Depth,Textual,W=20,2,5,36.029333333333334,93.426,18.014666666666667,18.685200000000002,2.5,2.5930538080082894,1.037221523203316,D2 -> D5
Utf8Json,Serialize,Depth,Textual,W=20,5,10,93.426,186.256,18.685200000000002,18.6256,2,1.9936206195277546,0.9968103097638771,D5 -> D10
Utf8Json,Serialize,Depth,Textual,W=20,10,20,186.256,372.4173333333333,18.6256,18.620866666666664,2,1.999491738968588,0.999745869484294,D10 -> D20
Utf8Json,Serialize,Depth,Textual,W=50,2,5,95.47733333333333,252.65666666666667,47.73866666666667,50.531333333333336,2.5,2.6462476259635794,1.058499050385432,D2 -> D5
Utf8Json,Serialize,Depth,Textual,W=50,5,10,252.65666666666667,480.982,50.531333333333336,48.098200000000006,2,1.9036980355423039,0.9518490177711519,D5 -> D10
Utf8Json,Serialize,Depth,Textual,W=50,10,20,480.982,1001.01,48.098200000000006,50.0505,2,2.081179753088473,1.0405898765442365,D10 -> D20
Utf8Json,Serialize,Depth,Textual,W=100,2,5,199.47866666666667,509.54333333333335,99.73933333333333,101.90866666666668,2.5,2.554375071018455,1.021750028407382,D2 -> D5
Utf8Json,Serialize,Depth,Textual,W=100,5,10,509.54333333333335,1026.9479999999999,101.90866666666668,102.69479999999999,2,2.015428193872945,1.0077140969364724,D5 -> D10
Utf8Json,Serialize,Depth,Textual,W=100,10,20,1026.9479999999999,2649.2066666666665,102.69479999999999,132.46033333333332,2,2.579689202049828,1.289844601024914,D10 -> D20
Utf8Json,Serialize,Depth,Numeric,W=5,2,5,8.793999999999999,21.077333333333335,4.396999999999999,4.215466666666667,2.5,2.396785687210978,0.9587142748843911,D2 -> D5
Utf8Json,Serialize,Depth,Numeric,W=5,5,10,21.077333333333335,39.246,4.215466666666667,3.9246000000000003,2,1.8620002530364372,0.9310001265182186,D5 -> D10
Utf8Json,Serialize,Depth,Numeric,W=5,10,20,39.246,75.89133333333334,3.9246000000000003,3.794566666666667,2,1.9337342234452768,0.9668671117226384,D10 -> D20
Utf8Json,Serialize,Depth,Numeric,W=20,2,5,35.034,85.07533333333333,17.517,17.015066666666666,2.5,2.4283648265494473,0.9713459306197789,D2 -> D5
Utf8Json,Serialize,Depth,Numeric,W=20,5,10,85.07533333333333,166.39333333333335,17.015066666666666,16.639333333333333,2,1.9558352205496308,0.9779176102748153,D5 -> D10
Utf8Json,Serialize,Depth,Numeric,W=20,10,20,166.39333333333335,333.11466666666666,16.639333333333333,16.655733333333334,2,2.0019712328218278,1.0009856164109139,D10 -> D20
Utf8Json,Serialize,Depth,Numeric,W=50,2,5,83.89066666666668,213.68266666666668,41.94533333333334,42.736533333333334,2.5,2.5471566165485235,1.0188626466194093,D2 -> D5
Utf8Json,Serialize,Depth,Numeric,W=50,5,10,213.68266666666668,425.54066666666665,42.736533333333334,42.554066666666664,2,1.9914608578452782,0.9957304289226391,D5 -> D10
Utf8Json,Serialize,Depth,Numeric,W=50,10,20,425.54066666666665,842.054,42.554066666666664,42.1027,2,1.978786202963759,0.9893931014818795,D10 -> D20
Utf8Json,Serialize,Depth,Numeric,W=100,2,5,168.38133333333334,431.50733333333335,84.19066666666667,86.30146666666667,2.5,2.562679156834487,1.0250716627337948,D2 -> D5
Utf8Json,Serialize,Depth,Numeric,W=100,5,10,431.50733333333335,863.568,86.30146666666667,86.35679999999999,2,2.001282326603951,1.0006411633019754,D5 -> D10
Utf8Json,Serialize,Depth,Numeric,W=100,10,20,863.568,1697.3513333333333,86.35679999999999,84.86756666666666,2,1.9655097610533663,0.9827548805266831,D10 -> D20
Utf8Json,Serialize,Depth,Boolean,W=5,2,5,6.168666666666667,13.844666666666667,3.0843333333333334,2.7689333333333335,2.5,2.24435318275154,0.897741273100616,D2 -> D5
Utf8Json,Serialize,Depth,Boolean,W=5,5,10,13.844666666666667,24.184,2.7689333333333335,2.4184,2,1.7468098425386431,0.8734049212693216,D5 -> D10
Utf8Json,Serialize,Depth,Boolean,W=5,10,20,24.184,44.58866666666666,2.4184,2.229433333333333,2,1.8437258793692797,0.9218629396846398,D10 -> D20
Utf8Json,Serialize,Depth,Boolean,W=20,2,5,21.794666666666668,60.217999999999996,10.897333333333334,12.0436,2.5,2.762969533830906,1.1051878135323625,D2 -> D5
Utf8Json,Serialize,Depth,Boolean,W=20,5,10,60.217999999999996,101.51,12.0436,10.151,2,1.6857085921153145,0.8428542960576572,D5 -> D10
Utf8Json,Serialize,Depth,Boolean,W=20,10,20,101.51,213.98333333333335,10.151,10.699166666666667,2,2.108002495649033,1.0540012478245164,D10 -> D20
Utf8Json,Serialize,Depth,Boolean,W=50,2,5,52.437333333333335,129.318,26.218666666666667,25.8636,2.5,2.466143714401953,0.9864574857607812,D2 -> D5
Utf8Json,Serialize,Depth,Boolean,W=50,5,10,129.318,255.34333333333333,25.8636,25.534333333333333,2,1.9745382184485787,0.9872691092242893,D5 -> D10
Utf8Json,Serialize,Depth,Boolean,W=50,10,20,255.34333333333333,482.5226666666667,25.534333333333333,24.126133333333335,2,1.8897014477239795,0.9448507238619899,D10 -> D20
Utf8Json,Serialize,Depth,Boolean,W=100,2,5,104.52533333333334,256.70533333333333,52.26266666666667,51.34106666666666,2.5,2.4559149934944,0.98236599739776,D2 -> D5
Utf8Json,Serialize,Depth,Boolean,W=100,5,10,256.70533333333333,532.3653333333333,51.34106666666666,53.23653333333333,2,2.073838226968405,1.0369191134842024,D5 -> D10
Utf8Json,Serialize,Depth,Boolean,W=100,10,20,532.3653333333333,1063.798,53.23653333333333,53.1899,2,1.9982480702474994,0.9991240351237498,D10 -> D20
STJRefGen,Deserialize,Depth,Textual,W=5,2,5,37.54266666666667,90.11800000000001,18.771333333333335,18.023600000000002,2.5,2.4004155272223606,0.9601662108889442,D2 -> D5
STJRefGen,Deserialize,Depth,Textual,W=5,5,10,90.11800000000001,187.13466666666667,18.023600000000002,18.71346666666667,2,2.0765514843501482,1.0382757421750741,D5 -> D10
STJRefGen,Deserialize,Depth,Textual,W=5,10,20,187.13466666666667,373.1533333333333,18.71346666666667,18.657666666666664,2,1.994036380218167,0.9970181901090834,D10 -> D20
STJRefGen,Deserialize,Depth,Textual,W=20,2,5,134.65866666666668,329.67133333333334,67.32933333333334,65.93426666666667,2.5,2.448199893062954,0.9792799572251817,D2 -> D5
STJRefGen,Deserialize,Depth,Textual,W=20,5,10,329.67133333333334,663.012,65.93426666666667,66.3012,2,2.0111302772256003,1.0055651386128,D5 -> D10
STJRefGen,Deserialize,Depth,Textual,W=20,10,20,663.012,1350.2406666666666,66.3012,67.51203333333333,2,2.0365252313180857,1.018262615659043,D10 -> D20
STJRefGen,Deserialize,Depth,Textual,W=50,2,5,334.7486666666667,847.1053333333333,167.37433333333334,169.42106666666666,2.5,2.5305711947072727,1.0122284778829092,D2 -> D5
STJRefGen,Deserialize,Depth,Textual,W=50,5,10,847.1053333333333,1686.486,169.42106666666666,168.64860000000002,2,1.9908811025468696,0.9954405512734348,D5 -> D10
STJRefGen,Deserialize,Depth,Textual,W=50,10,20,1686.486,3389.6986666666667,168.64860000000002,169.48493333333334,2,2.0099180584165337,1.0049590292082669,D10 -> D20
STJRefGen,Deserialize,Depth,Textual,W=100,2,5,1140.5306666666668,2831.3406666666665,570.2653333333334,566.2681333333333,2.5,2.4824765781542624,0.9929906312617048,D2 -> D5
STJRefGen,Deserialize,Depth,Textual,W=100,5,10,2831.3406666666665,5763.798,566.2681333333333,576.3797999999999,2,2.035713352284701,1.0178566761423504,D5 -> D10
STJRefGen,Deserialize,Depth,Textual,W=100,10,20,5763.798,11481.362666666666,576.3797999999999,574.0681333333333,2,1.9919786686949588,0.9959893343474795,D10 -> D20
STJRefGen,Deserialize,Depth,Numeric,W=5,2,5,33.468666666666664,80.68733333333333,16.734333333333332,16.137466666666665,2.5,2.4108320219907178,0.964332808796287,D2 -> D5
STJRefGen,Deserialize,Depth,Numeric,W=5,5,10,80.68733333333333,169.05,16.137466666666665,16.905,2,2.0951243896191887,1.0475621948095943,D5 -> D10
STJRefGen,Deserialize,Depth,Numeric,W=5,10,20,169.05,334.63,16.905,16.7315,2,1.9794735285418514,0.9897367642709257,D10 -> D20
STJRefGen,Deserialize,Depth,Numeric,W=20,2,5,117.81733333333334,286.75933333333336,58.90866666666667,57.35186666666667,2.5,2.433931622964363,0.9735726491857453,D2 -> D5
STJRefGen,Deserialize,Depth,Numeric,W=20,5,10,286.75933333333336,570.338,57.35186666666667,57.0338,2,1.9889082366397837,0.9944541183198918,D5 -> D10
STJRefGen,Deserialize,Depth,Numeric,W=20,10,20,570.338,1158.0206666666666,57.0338,57.90103333333333,2,2.0304112064541844,1.0152056032270922,D10 -> D20
