Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
STJSrcGen_Deser_R0,15,99296,9.958 μs,0.0627 μs,0.0587 μs,342.22 uj,2.08 uj,11.32 uj,50.2,0.8862,0.0201,7.26 KB
STJSrcGen_Deser_R25,15,102112,9.725 μs,0.0566 μs,0.0530 μs,334.21 uj,1.86 uj,10.99 uj,50.17,0.8814,0.0196,7.26 KB
STJSrcGen_Deser_R50,15,100688,9.877 μs,0.0648 μs,0.0606 μs,339.04 uj,2.00 uj,11.09 uj,49.9,0.8839,0.0199,7.26 KB
STJSrcGen_Deser_R75,15,101072,9.891 μs,0.0579 μs,0.0541 μs,339.67 uj,1.93 uj,11.18 uj,50.1,0.8806,0.0198,7.26 KB
STJSrcGen_Deser_R95,15,100400,9.917 μs,0.0548 μs,0.0512 μs,341.31 uj,1.77 uj,11.30 uj,49.87,0.8865,0.0199,7.26 KB
STJSrcGen_Ser_R0,15,279552,3.583 μs,0.0204 μs,0.0191 μs,124.57 uj,0.87 uj,4.07 uj,50.57,0.3649,0,3.01 KB
STJSrcGen_Ser_R25,15,272624,3.656 μs,0.0246 μs,0.0230 μs,126.56 uj,0.96 uj,4.11 uj,50.63,0.3668,0,3.01 KB
STJSrcGen_Ser_R50,15,273008,3.661 μs,0.0267 μs,0.0250 μs,126.75 uj,0.99 uj,4.12 uj,50.57,0.3663,0,3.01 KB
STJSrcGen_Ser_R75,15,278400,3.589 μs,0.0197 μs,0.0185 μs,124.28 uj,0.72 uj,4.04 uj,50.5,0.3664,0,3.01 KB
STJSrcGen_Ser_R95,15,280896,3.567 μs,0.0203 μs,0.0190 μs,125.00 uj,0.83 uj,4.05 uj,50.53,0.3667,0,3.01 KB
Newtonsoft_Deser_R0,15,54176,18.511 μs,0.1238 μs,0.1158 μs,635.84 uj,3.89 uj,20.86 uj,49.73,1.8828,0.0369,15.45 KB
Newtonsoft_Deser_R25,15,53360,18.787 μs,0.0942 μs,0.0881 μs,644.93 uj,2.90 uj,21.25 uj,49.77,1.8741,0.0375,15.45 KB
Newtonsoft_Deser_R50,15,50464,19.914 μs,0.1237 μs,0.1157 μs,682.32 uj,4.31 uj,22.59 uj,49.53,1.8825,0.0396,15.45 KB
Newtonsoft_Deser_R75,15,48336,20.799 μs,0.1035 μs,0.0968 μs,712.28 uj,3.82 uj,23.41 uj,49.53,1.8827,0.0414,15.45 KB
Newtonsoft_Deser_R95,15,50192,19.967 μs,0.1322 μs,0.1237 μs,684.30 uj,4.51 uj,22.43 uj,49.47,1.8728,0.0398,15.45 KB
Newtonsoft_Ser_R0,15,83728,11.920 μs,0.0673 μs,0.0629 μs,409.46 uj,2.20 uj,13.56 uj,49.87,2.2334,0.0717,18.27 KB
Newtonsoft_Ser_R25,15,83856,11.580 μs,0.0836 μs,0.0782 μs,398.13 uj,2.82 uj,13.24 uj,49.67,2.23,0.0716,18.27 KB
Newtonsoft_Ser_R50,15,84960,11.649 μs,0.0749 μs,0.0700 μs,400.19 uj,2.37 uj,13.30 uj,50,2.2246,0.0706,18.27 KB
Newtonsoft_Ser_R75,15,85360,11.690 μs,0.0755 μs,0.0706 μs,401.42 uj,2.42 uj,13.26 uj,49.9,2.2259,0.0703,18.27 KB
Newtonsoft_Ser_R95,15,82800,11.795 μs,0.0925 μs,0.0865 μs,404.89 uj,2.96 uj,13.43 uj,49.87,2.2343,0.0725,18.27 KB
