Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Ser_F10,15,68064,14.069 μs,0.1139 μs,0.1065 μs,470.94 uj,3.95 uj,15.82 uj,49.77,0.2351,0,2016 B
SpanJson_Ser_I10,15,345322,2.910 μs,0.0298 μs,0.0279 μs,99.88 uj,0.93 uj,3.29 uj,50.53,0.2288,0,1920 B
Utf8Json_Deser_F2,15,119530,8.385 μs,0.0426 μs,0.0399 μs,285.26 uj,1.78 uj,9.40 uj,49.77,0.1004,0,880 B
Utf8Json_Deser_I2,15,290567,3.361 μs,0.0240 μs,0.0224 μs,115.31 uj,0.75 uj,3.78 uj,50.43,0.0619,0,520 B
Utf8Json_Deser_F3,15,110626,9.042 μs,0.0641 μs,0.0599 μs,308.87 uj,1.80 uj,10.13 uj,49.93,0.0994,0,880 B
Utf8Json_Deser_I3,15,266290,3.672 μs,0.0314 μs,0.0294 μs,125.05 uj,1.12 uj,4.13 uj,50.33,0.0601,0,520 B
Utf8Json_Deser_F5,15,99677,10.064 μs,0.0552 μs,0.0516 μs,345.09 uj,1.76 uj,11.28 uj,50.37,0.1003,0,880 B
Utf8Json_Deser_I5,15,258879,3.775 μs,0.0292 μs,0.0273 μs,128.78 uj,0.98 uj,4.24 uj,50.4,0.0618,0,520 B
Utf8Json_Deser_F7,15,80989,12.003 μs,0.0676 μs,0.0632 μs,410.08 uj,2.11 uj,13.48 uj,50.27,0.0988,0,880 B
Utf8Json_Deser_I7,15,244274,4.095 μs,0.0309 μs,0.0289 μs,140.23 uj,1.05 uj,4.60 uj,50.2,0.0614,0,520 B
Utf8Json_Deser_F10,15,74798,13.039 μs,0.0912 μs,0.0853 μs,437.99 uj,2.72 uj,14.62 uj,48.83,0.0936,0,880 B
Utf8Json_Deser_I10,15,227238,4.413 μs,0.0312 μs,0.0292 μs,151.30 uj,0.99 uj,4.96 uj,50.33,0.0616,0,520 B
Utf8Json_Ser_F2,15,131561,7.647 μs,0.0501 μs,0.0468 μs,261.60 uj,1.80 uj,8.57 uj,50.07,0.152,0,1272 B
Utf8Json_Ser_I2,15,590032,1.697 μs,0.0114 μs,0.0106 μs,58.25 uj,0.35 uj,1.91 uj,50.4,0.139,0,1176 B
Utf8Json_Ser_F3,15,114462,8.509 μs,0.0739 μs,0.0691 μs,289.10 uj,2.46 uj,9.56 uj,50.17,0.1573,0,1368 B
Utf8Json_Ser_I3,15,502201,2.041 μs,0.0380 μs,0.0356 μs,70.03 uj,1.21 uj,2.30 uj,50.4,0.1513,0,1272 B
Utf8Json_Ser_F5,15,97405,10.008 μs,0.0509 μs,0.0477 μs,339.10 uj,2.17 uj,11.24 uj,50.2,0.1848,0,1560 B
Utf8Json_Ser_I5,15,407579,2.453 μs,0.0207 μs,0.0194 μs,83.50 uj,0.73 uj,2.77 uj,50.33,0.1742,0,1464 B
Utf8Json_Ser_F7,15,87521,11.485 μs,0.1232 μs,0.1153 μs,394.05 uj,3.94 uj,12.90 uj,50.03,0.2057,0,1744 B
Utf8Json_Ser_I7,15,348599,2.866 μs,0.0221 μs,0.0207 μs,96.84 uj,0.77 uj,3.23 uj,50.13,0.1951,0,1648 B
Utf8Json_Ser_F10,15,73293,13.360 μs,0.0618 μs,0.0578 μs,456.18 uj,2.44 uj,15.01 uj,50.27,0.2456,0,2104 B
Utf8Json_Ser_I10,15,279408,3.586 μs,0.0227 μs,0.0212 μs,120.15 uj,0.79 uj,4.03 uj,50.1,0.2291,0,1936 B
STJRefGen_Deser_F2,15,87104,11.515 μs,0.0890 μs,0.0832 μs,394.06 uj,3.25 uj,12.95 uj,49.27,0.1607,0,1352 B
STJRefGen_Deser_I2,15,137280,7.308 μs,0.0466 μs,0.0436 μs,251.03 uj,1.48 uj,8.22 uj,50.43,0.1166,0,992 B
STJRefGen_Deser_F3,15,85680,11.711 μs,0.0783 μs,0.0732 μs,401.98 uj,2.41 uj,13.13 uj,49.8,0.1517,0,1352 B
STJRefGen_Deser_I3,15,133584,7.506 μs,0.0469 μs,0.0439 μs,257.99 uj,1.51 uj,8.44 uj,50.53,0.1123,0,992 B
STJRefGen_Deser_F5,15,79600,12.604 μs,0.0864 μs,0.0808 μs,432.76 uj,2.79 uj,14.14 uj,50.2,0.1508,0,1352 B
STJRefGen_Deser_I5,15,125600,7.982 μs,0.0479 μs,0.0448 μs,274.21 uj,1.70 uj,8.96 uj,50.7,0.1115,0,992 B
STJRefGen_Deser_F7,15,77040,13.017 μs,0.0900 μs,0.0842 μs,446.79 uj,2.84 uj,14.59 uj,50.4,0.1558,0,1352 B
STJRefGen_Deser_I7,15,118752,8.449 μs,0.0565 μs,0.0529 μs,290.19 uj,1.87 uj,9.50 uj,50.7,0.1179,0,992 B
STJRefGen_Deser_F10,15,70560,14.188 μs,0.0992 μs,0.0928 μs,481.68 uj,3.96 uj,15.91 uj,48.2,0.1559,0,1352 B
STJRefGen_Deser_I10,15,110368,9.097 μs,0.0603 μs,0.0564 μs,312.30 uj,1.89 uj,10.22 uj,50.63,0.1178,0,992 B
STJRefGen_Ser_F2,15,39456,10.692 μs,0.1605 μs,0.1501 μs,366.81 uj,5.06 uj,12.06 uj,50.2,0.1774,0,1584 B
STJRefGen_Ser_I2,15,318336,3.085 μs,0.0232 μs,0.0217 μs,106.27 uj,0.74 uj,3.49 uj,50.77,0.1759,0,1488 B
STJRefGen_Ser_F3,15,29936,11.643 μs,0.2006 μs,0.1876 μs,399.75 uj,6.48 uj,13.09 uj,50.23,0.2004,0,1680 B
STJRefGen_Ser_I3,15,319600,3.071 μs,0.0224 μs,0.0209 μs,106.95 uj,0.76 uj,3.46 uj,51.2,0.1877,0,1584 B
STJRefGen_Ser_F5,15,35664,13.874 μs,0.1999 μs,0.1870 μs,466.05 uj,6.11 uj,15.57 uj,49.67,0.1963,0,1872 B
STJRefGen_Ser_I5,15,298752,3.266 μs,0.0252 μs,0.0235 μs,112.74 uj,0.85 uj,3.70 uj,50.93,0.2109,0,1776 B
STJRefGen_Ser_F7,15,36000,14.227 μs,0.1432 μs,0.1339 μs,477.87 uj,4.62 uj,15.97 uj,49.97,0.2222,0,2056 B
STJRefGen_Ser_I7,15,292256,3.379 μs,0.0245 μs,0.0229 μs,116.78 uj,0.89 uj,3.84 uj,51.43,0.2327,0,1960 B
STJRefGen_Ser_F10,16,24368,15.739 μs,0.3084 μs,0.3029 μs,533.45 uj,9.75 uj,17.66 uj,49.91,0.2462,0,2344 B
STJRefGen_Ser_I10,15,272976,3.589 μs,0.0271 μs,0.0254 μs,123.56 uj,0.90 uj,4.07 uj,50.77,0.2674,0,2248 B
STJSrcGen_Deser_F2,15,89648,11.187 μs,0.0897 μs,0.0839 μs,381.65 uj,3.15 uj,12.54 uj,49.37,0.1562,0,1352 B
STJSrcGen_Deser_I2,15,134880,7.451 μs,0.0507 μs,0.0474 μs,255.97 uj,1.59 uj,8.36 uj,50.87,0.1112,0,992 B
STJSrcGen_Deser_F3,15,84864,11.814 μs,0.0788 μs,0.0737 μs,405.46 uj,2.48 uj,13.29 uj,49.83,0.1532,0,1352 B
STJSrcGen_Deser_I3,15,132752,7.558 μs,0.0574 μs,0.0537 μs,259.69 uj,1.82 uj,8.51 uj,50.47,0.113,0,992 B
STJSrcGen_Deser_F5,15,81488,12.305 μs,0.0748 μs,0.0700 μs,422.32 uj,2.46 uj,13.82 uj,50.43,0.1595,0,1352 B
STJSrcGen_Deser_I5,15,128672,7.791 μs,0.0511 μs,0.0478 μs,267.49 uj,1.62 uj,8.76 uj,51.07,0.1166,0,992 B
STJSrcGen_Deser_F7,15,79120,12.671 μs,0.0814 μs,0.0762 μs,435.00 uj,2.65 uj,14.21 uj,50.33,0.1517,0,1352 B
STJSrcGen_Deser_I7,15,120640,8.320 μs,0.0567 μs,0.0530 μs,285.78 uj,1.78 uj,9.36 uj,50.5,0.116,0,992 B
STJSrcGen_Deser_F10,15,71104,14.109 μs,0.0848 μs,0.0793 μs,480.36 uj,2.76 uj,15.82 uj,48.4,0.1547,0,1352 B
STJSrcGen_Deser_I10,15,111152,9.028 μs,0.0564 μs,0.0527 μs,310.16 uj,1.82 uj,10.16 uj,50.7,0.117,0,992 B
STJSrcGen_Ser_F2,15,121072,8.294 μs,0.1298 μs,0.1214 μs,281.22 uj,3.58 uj,9.34 uj,50.2,0.1487,0,1272 B
STJSrcGen_Ser_I2,15,565568,1.774 μs,0.0122 μs,0.0114 μs,61.09 uj,0.39 uj,2.02 uj,51.23,0.1397,0,1176 B
STJSrcGen_Ser_F3,15,109376,9.166 μs,0.1005 μs,0.0940 μs,308.06 uj,3.49 uj,10.31 uj,50,0.1554,0,1368 B
STJSrcGen_Ser_I3,15,509616,1.968 μs,0.0149 μs,0.0139 μs,67.72 uj,0.47 uj,2.23 uj,51.23,0.1511,0,1272 B
STJSrcGen_Ser_F5,15,88144,11.378 μs,0.1303 μs,0.1219 μs,380.15 uj,4.22 uj,12.79 uj,49.6,0.1815,0,1560 B
STJSrcGen_Ser_I5,15,489392,2.046 μs,0.0133 μs,0.0125 μs,70.38 uj,0.43 uj,2.30 uj,50.8,0.1737,0,1464 B
STJSrcGen_Ser_F7,15,83104,12.115 μs,0.0873 μs,0.0816 μs,407.99 uj,2.68 uj,13.63 uj,49.9,0.2046,0,1744 B
STJSrcGen_Ser_I7,15,451088,2.217 μs,0.0163 μs,0.0152 μs,76.22 uj,0.53 uj,2.51 uj,51.07,0.1951,0,1648 B
STJSrcGen_Ser_F10,15,75472,13.311 μs,0.0926 μs,0.0866 μs,446.80 uj,2.79 uj,14.96 uj,49.9,0.2385,0,2032 B
STJSrcGen_Ser_I10,15,424944,2.353 μs,0.0160 μs,0.0150 μs,80.92 uj,0.51 uj,2.67 uj,50.63,0.2306,0,1936 B
Newtonsoft_Deser_F2,15,45280,22.186 μs,0.1465 μs,0.1370 μs,758.55 uj,4.69 uj,25.08 uj,49.27,1.3472,0.0221,11448 B
Newtonsoft_Deser_I2,15,66496,15.094 μs,0.1072 μs,0.1002 μs,518.26 uj,3.36 uj,17.09 uj,50.6,0.9324,0,7856 B
Newtonsoft_Deser_F3,15,43872,22.850 μs,0.1599 μs,0.1496 μs,784.17 uj,5.06 uj,25.82 uj,49.93,1.3904,0.0228,11640 B
Newtonsoft_Deser_I3,15,63872,15.691 μs,0.1135 μs,0.1062 μs,538.74 uj,3.59 uj,17.73 uj,50.43,0.955,0.0157,8048 B
Newtonsoft_Deser_F5,15,40288,24.940 μs,0.1842 μs,0.1723 μs,855.95 uj,5.66 uj,28.07 uj,50.3,1.5141,0.0248,12776 B
Newtonsoft_Deser_I5,15,61280,16.401 μs,0.1211 μs,0.1133 μs,562.60 uj,3.82 uj,18.55 uj,50.53,0.9954,0.0163,8432 B
Newtonsoft_Deser_F7,15,38464,26.089 μs,0.1976 μs,0.1849 μs,894.98 uj,6.40 uj,29.32 uj,50.3,1.5599,0.026,13160 B
Newtonsoft_Deser_I7,15,56848,17.659 μs,0.1104 μs,0.1032 μs,606.17 uj,3.61 uj,19.99 uj,50.27,1.0379,0.0176,8808 B
Newtonsoft_Deser_F10,15,34816,28.849 μs,0.2283 μs,0.2135 μs,984.34 uj,8.85 uj,32.41 uj,48.47,1.7233,0.0287,14488 B
Newtonsoft_Deser_I10,15,52912,18.980 μs,0.1211 μs,0.1133 μs,651.33 uj,3.88 uj,21.48 uj,50.2,1.1151,0.0189,9376 B
Newtonsoft_Ser_F2,15,58752,17.091 μs,0.1228 μs,0.1149 μs,586.72 uj,3.78 uj,19.24 uj,50.1,1.7021,0.017,14344 B
Newtonsoft_Ser_I2,15,138944,7.185 μs,0.0549 μs,0.0513 μs,246.99 uj,1.77 uj,8.28 uj,50.53,1.3243,0.0144,11112 B
Newtonsoft_Ser_F3,15,56560,17.692 μs,0.1240 μs,0.1160 μs,607.29 uj,3.92 uj,19.85 uj,50.4,1.7327,0.0177,14632 B
Newtonsoft_Ser_I3,15,117888,8.428 μs,0.0662 μs,0.0619 μs,289.46 uj,2.09 uj,9.65 uj,50.43,1.3572,0.017,11400 B
Newtonsoft_Ser_F5,15,50320,19.985 μs,0.1449 μs,0.1355 μs,680.36 uj,5.60 uj,22.73 uj,49.8,1.9078,0.0199,15960 B
Newtonsoft_Ser_I5,15,113296,8.818 μs,0.0638 μs,0.0597 μs,302.91 uj,2.00 uj,10.12 uj,50.5,1.4299,0.0177,11976 B
Newtonsoft_Ser_F7,15,47920,20.885 μs,0.1329 μs,0.1243 μs,716.29 uj,4.34 uj,23.76 uj,50.23,1.9616,0.0209,16528 B
Newtonsoft_Ser_I7,15,101760,9.629 μs,0.0765 μs,0.0716 μs,330.77 uj,2.50 uj,11.03 uj,50.67,1.4937,0.0295,12536 B
Newtonsoft_Ser_F10,15,44752,22.451 μs,0.1551 μs,0.1451 μs,770.16 uj,5.08 uj,25.61 uj,50.1,2.1675,0.0223,18144 B
Newtonsoft_Ser_I10,15,94560,10.432 μs,0.0817 μs,0.0764 μs,358.07 uj,2.69 uj,11.75 uj,50.4,1.5969,0.0212,13392 B
