Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
Utf8Json_Deser_C1K,15,18,"13,522.25 μs",230.669 μs,215.768 μs,475705.20 uj,7511.45 uj,16893.80 uj,48.7,833.3333,777.7778,6813.11 KB
Utf8Json_Deser_C10K,15,7,"158,284.34 μs","1,087.833 μs","1,017.560 μs",5544906.50 uj,36548.52 uj,241313.79 uj,49.7,8285.7143,8142.8571,68225.08 KB
Utf8Json_Deser_C100K,100,1,"1,765,264.00 μs","57,641.518 μs","169,957.328 μs",61522147.77 uj,5744480.97 uj,2740022.89 uj,49.59,83000,82000,681735.9 KB
Utf8Json_Ser_C10,15,7661,130.59 μs,0.457 μs,0.428 μs,4483.71 uj,15.46 uj,146.52 uj,48.5,3.5243,0,29.82 KB
Utf8Json_Ser_C100,15,756,"1,322.48 μs",7.547 μs,7.060 μs,45550.39 uj,262.15 uj,1634.69 uj,48.3,0,0,1193.96 KB
Utf8Json_Ser_C1K,15,24,"13,801.14 μs",163.403 μs,152.848 μs,474399.46 uj,5416.22 uj,19287.91 uj,48.23,0,0,11042.7 KB
Utf8Json_Ser_C10K,15,4,"162,249.08 μs","1,561.748 μs","1,460.860 μs",5572370.37 uj,49624.69 uj,224338.28 uj,48.17,0,0,95193.41 KB
Utf8Json_Ser_C100K,15,1,"1,699,722.13 μs","4,087.827 μs","3,823.756 μs",58200025.73 uj,141388.76 uj,2496526.93 uj,48.6,0,0,1346299.91 KB
STJRefGen_Deser_C10,15,9696,103.18 μs,0.521 μs,0.488 μs,3638.94 uj,16.81 uj,115.90 uj,48.6,8.4571,1.4439,69.67 KB
STJRefGen_Deser_C100,15,960,"1,041.26 μs",2.496 μs,2.335 μs,36719.73 uj,87.10 uj,1185.94 uj,48.6,83.3333,44.7917,683.21 KB
STJRefGen_Deser_C1K,15,96,"11,719.15 μs",21.251 μs,19.878 μs,411782.33 uj,671.96 uj,14818.79 uj,49.17,833.3333,822.9167,6814.47 KB
STJRefGen_Deser_C10K,15,6,"145,145.94 μs","1,531.609 μs","1,432.668 μs",5091237.24 uj,52673.49 uj,225989.54 uj,49.17,8333.3333,8166.6667,68226.44 KB
STJRefGen_Deser_C100K,100,1,"1,669,657.50 μs","57,612.391 μs","169,871.446 μs",58261837.58 uj,5755616.87 uj,2685744.60 uj,48.71,84000,83000,681737.96 KB
STJRefGen_Ser_C10,15,15728,63.65 μs,0.418 μs,0.391 μs,2249.45 uj,14.72 uj,71.45 uj,49.67,3.6877,0,30.71 KB
STJRefGen_Ser_C100,15,1376,655.85 μs,0.585 μs,0.547 μs,23176.80 uj,62.89 uj,772.99 uj,49.17,0,0,298.78 KB
STJRefGen_Ser_C1K,15,64,"6,366.15 μs",40.988 μs,38.340 μs,227131.01 uj,1425.44 uj,9892.50 uj,49.17,0,0,2979.45 KB
STJRefGen_Ser_C10K,41,6,"53,463.68 μs","1,065.423 μs","1,921.178 μs",1923420.02 uj,67111.38 uj,101598.47 uj,48,0,0,29786.09 KB
STJRefGen_Ser_C100K,15,1,"640,462.16 μs","2,970.435 μs","2,778.547 μs",22766657.40 uj,116169.01 uj,1170793.53 uj,47.33,0,0,297852.49 KB
STJSrcGen_Deser_C10,15,10000,100.04 μs,0.603 μs,0.564 μs,3527.98 uj,19.57 uj,112.42 uj,48.6,8.5,1.5,69.67 KB
STJSrcGen_Deser_C100,15,944,"1,018.75 μs",1.631 μs,1.526 μs,35936.20 uj,56.43 uj,1161.76 uj,49.03,82.6271,44.4915,683.21 KB
STJSrcGen_Deser_C1K,15,64,"11,823.60 μs",81.655 μs,76.380 μs,415519.48 uj,2641.81 uj,14960.38 uj,49.5,828.125,812.5,6814.47 KB
STJSrcGen_Deser_C10K,15,4,"145,172.32 μs","1,301.903 μs","1,217.801 μs",5086608.10 uj,44416.94 uj,226295.42 uj,49.53,8250,8000,68226.44 KB
STJSrcGen_Deser_C100K,100,1,"1,650,024.23 μs","58,400.556 μs","172,195.370 μs",57577967.86 uj,5844393.50 uj,2662507.96 uj,48.94,84000,83000,681737.96 KB
STJSrcGen_Ser_C10,15,28432,35.14 μs,0.079 μs,0.074 μs,1271.54 uj,3.06 uj,39.45 uj,49.87,3.6227,0,29.82 KB
STJSrcGen_Ser_C100,15,2224,389.62 μs,1.491 μs,1.394 μs,13861.47 uj,58.92 uj,472.08 uj,49.27,0,0,297.89 KB
STJSrcGen_Ser_C1K,15,256,"3,857.54 μs",16.405 μs,15.345 μs,139459.33 uj,530.20 uj,6644.06 uj,49.13,0,0,2978.56 KB
STJSrcGen_Ser_C10K,29,8,"42,027.71 μs",823.921 μs,"1,207.694 μs",1511052.18 uj,40722.30 uj,85648.41 uj,47.55,0,0,29785.2 KB
STJSrcGen_Ser_C100K,15,1,"521,863.37 μs","8,917.998 μs","8,341.901 μs",18478737.00 uj,276500.25 uj,1011321.53 uj,47.5,0,0,297851.6 KB
Newtonsoft_Deser_C10,15,5008,199.66 μs,0.889 μs,0.832 μs,7032.96 uj,31.00 uj,224.20 uj,48.63,15.9744,3.7939,130.81 KB
Newtonsoft_Deser_C100,15,488,"2,043.55 μs",8.835 μs,8.264 μs,72067.76 uj,284.78 uj,2485.78 uj,48.53,81.9672,40.9836,1280.48 KB
Newtonsoft_Deser_C1K,15,10,"22,659.87 μs",393.062 μs,367.671 μs,797135.01 uj,13274.63 uj,29400.55 uj,49.5,800,700,12773.07 KB
Newtonsoft_Deser_C10K,27,1,"267,329.42 μs","5,191.836 μs","7,278.230 μs",9369231.81 uj,253393.03 uj,368090.78 uj,49.09,8000,7000,127799.3 KB
Newtonsoft_Deser_C100K,30,1,"2,873,212.59 μs","56,963.060 μs","85,259.633 μs",99975387.00 uj,2983884.56 uj,4229377.53 uj,49.25,83000,82000,1277441.95 KB
Newtonsoft_Ser_C10,15,8688,115.10 μs,0.168 μs,0.157 μs,4061.46 uj,5.59 uj,129.54 uj,49.17,18.7615,0,154.13 KB
Newtonsoft_Ser_C100,15,830,"1,197.07 μs",4.438 μs,4.151 μs,42162.94 uj,160.16 uj,1692.04 uj,48.83,74.6988,33.7349,1507.66 KB
Newtonsoft_Ser_C1K,70,17,"13,691.59 μs",272.033 μs,662.166 μs,481532.61 uj,23518.53 uj,22029.79 uj,48.42,705.8824,588.2353,14933.15 KB
Newtonsoft_Ser_C10K,16,5,"154,255.95 μs","3,056.870 μs","3,002.255 μs",5404753.79 uj,105491.40 uj,260932.99 uj,47.59,7200,7000,149203.69 KB
Newtonsoft_Ser_C100K,84,1,"1,744,143.29 μs","34,847.142 μs","93,614.590 μs",60697948.73 uj,3159853.33 uj,2881390.39 uj,48.89,74000,73000,1491949.41 KB
