LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L200,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L200,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L200,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L200,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L200,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L200,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L500,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L500,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L500,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L500,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L500,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L500,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L500,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L500,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L500,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L500,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L2000,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L2000,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L2000,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L2000,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L2000,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L2000,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L2000,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L2000,All,-0.9566395663956639,0.9566395663956639,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L2000,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L2000,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L10000,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L10000,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L10000,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L10000,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L10000,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L10000,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L10000,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L10000,All,-0.5823451910408433,0.5823451910408433,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L10000,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L10000,All,1,1,L
