Operation,Depth,Width,Content,n_obs,n_groups,kw_chi2,kw_df,kw_p_value,kw_p_adj,significant,sig_label
Deserialize,10,5,Numeric,75,5,71.06172909760848,4,1.3545702704558255e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,5,Boolean,75,5,71.0839772872817,4,1.339993323502643e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,20,Textual,75,5,70.2840164070465,4,1.9771154703756803e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,20,Numeric,75,5,70.39386231945907,4,1.8742985501345768e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,20,Boolean,75,5,69.9057319525056,4,2.3762749816669295e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,50,Textual,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,50,Numeric,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,50,Boolean,75,5,71.05869633254613,4,1.3565695622659964e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,100,Textual,75,5,70.28001725961015,4,1.9809632098978128e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,100,Numeric,75,5,70.11396491228072,4,2.1475107460730767e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,100,Boolean,75,5,66.40627794610637,4,1.30054662721683e-13,1.1605432486542277e-12,TRUE,***
Deserialize,20,5,Textual,75,5,70.4581430529276,4,1.816627305053405e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,5,Numeric,75,5,70.99985393844553,4,1.3959491699087277e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,5,Boolean,75,5,71.08600054079437,4,1.3386754946448752e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,20,Textual,75,5,69.60127076250492,4,2.755286863848101e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,20,Numeric,75,5,71.05465304845086,4,1.3592396058785693e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,20,Boolean,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,50,Textual,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,50,Numeric,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,50,Boolean,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,100,Textual,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,100,Numeric,75,5,68.0568277405558,4,5.835365999618028e-14,1.1605432486542277e-12,TRUE,***
Deserialize,20,100,Boolean,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,5,Textual,75,5,71.2340097830892,4,1.2457019140103224e-14,1.1460457608894966e-12,TRUE,***
Serialize,2,5,Numeric,75,5,71.28483966262789,4,1.2152843127223938e-14,1.1302144108318263e-12,TRUE,***
Serialize,2,5,Boolean,75,5,71.42755001358479,4,1.1337926276465056e-14,1.0771029962641804e-12,TRUE,***
Serialize,2,20,Textual,75,5,71.13763244844478,4,1.3054801957689927e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,20,Numeric,75,5,71.07790821771609,4,1.3439541412362576e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,20,Boolean,75,5,71.064762121557,4,1.3525737525524556e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,50,Textual,75,5,71.06071814715754,4,1.355236392669369e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,50,Numeric,75,5,71.07285145133748,4,1.3472632387573342e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,50,Boolean,75,5,71.06274007682455,4,1.3539044564541043e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,100,Textual,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,100,Numeric,75,5,71.05768546838321,4,1.3572366099162224e-14,1.1605432486542277e-12,TRUE,***
Serialize,2,100,Boolean,75,5,71.05869633254613,4,1.3565695622659964e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,5,Textual,75,5,71.16296961148862,4,1.2894924985046975e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,5,Numeric,75,5,70.35917632946818,4,1.906174271448422e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,5,Boolean,75,5,71.35102705482385,4,1.1767861258938629e-14,1.1061789583402311e-12,TRUE,***
Serialize,5,20,Textual,75,5,71.06577318707582,4,1.3519088623858062e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,20,Numeric,75,5,71.0698177368638,4,1.3492523771711381e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,20,Boolean,75,5,71.06274007682455,4,1.3539044564541043e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,50,Textual,77,5,72.94897073901728,4,5.40838937877323e-15,5.192053803622301e-13,TRUE,***
Serialize,5,50,Numeric,75,5,70.30001754910192,4,1.9617947022614234e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,50,Boolean,75,5,71.06577318707582,4,1.3519088623858062e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,100,Textual,75,5,71.05465304845086,4,1.3592396058785693e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,100,Numeric,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Serialize,5,100,Boolean,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,5,Textual,75,5,71.0708289462451,4,1.3485890240647261e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,5,Numeric,75,5,71.11636317040873,4,1.3190538829146032e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,5,Boolean,75,5,71.11130093106685,4,1.3223052383678614e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,20,Textual,75,5,71.05869633254613,4,1.3565695622659964e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,20,Numeric,75,5,71.05869633254613,4,1.3565695622659964e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,20,Boolean,75,5,71.06678428136469,4,1.3512442798975449e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,50,Textual,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,50,Numeric,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,50,Boolean,75,5,71.0556638263368,4,1.3585716315887764e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,100,Textual,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,100,Numeric,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Serialize,10,100,Boolean,75,5,71.05465304845086,4,1.3592396058785693e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,5,Textual,75,5,71.06071814715754,4,1.355236392669369e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,5,Numeric,75,5,71.14675174840113,4,1.2997032488349623e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,5,Boolean,75,5,71.11231332127957,4,1.3216543643284178e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,20,Textual,75,5,71.05667463298052,4,1.3579039663125745e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,20,Numeric,75,5,71.0597072254705,4,1.3559028232282445e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,20,Boolean,75,5,71.0597072254705,4,1.3559028232282445e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,50,Textual,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,50,Numeric,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,50,Boolean,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,100,Textual,75,5,70.16941919515213,4,2.0903905678767564e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,100,Numeric,75,5,71.05364229932144,4,1.3599078893157954e-14,1.1605432486542277e-12,TRUE,***
Serialize,20,100,Boolean,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
