LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude,Dimension
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W20,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W20,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W20,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W20,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W20,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W20,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W20,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W20,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W50,All,0.8844444444444445,0.8844444444444445,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W50,All,-1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W50,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W50,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W50,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W50,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W50,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W50,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W50,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W50,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W100,All,-1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W100,All,-1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W100,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W100,All,-0.8755555555555555,0.8755555555555555,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W100,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W100,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W100,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W100,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W100,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W100,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W200,All,-0.5288888888888889,0.5288888888888889,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W200,All,-1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W200,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W200,All,-0.7777777777777778,0.7777777777777778,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W200,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W200,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W200,All,-0.76,0.76,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W200,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W200,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W200,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D1,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D1,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D1,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D1,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D1,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D1,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D1,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D1,All,0.8933333333333333,0.8933333333333333,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D1,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D1,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D2,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D2,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D2,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D2,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D2,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D2,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D2,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D2,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D2,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D2,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D4,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D4,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D4,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D4,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D4,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D4,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D4,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D4,All,0.5911111111111111,0.5911111111111111,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D4,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D4,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D8,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D8,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D8,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D8,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D8,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D8,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D8,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D8,All,-0.8844444444444445,0.8844444444444445,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D8,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D8,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D15,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D15,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D15,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D15,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D15,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D15,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D15,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D15,All,0.9733333333333334,0.9733333333333334,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D15,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D15,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D25,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D25,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D25,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D25,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D25,All,-0.9310344827586207,0.9310344827586207,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D25,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D25,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D25,All,-0.7563218390804598,0.7563218390804598,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D25,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D25,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D40,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D40,All,1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D40,All,1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D40,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D40,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D40,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D40,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D40,All,-0.8844444444444445,0.8844444444444445,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D40,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D40,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D1,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D1,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D1,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D1,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D1,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D1,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D1,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D1,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D1,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D1,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D2,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D2,All,-0.9822222222222222,0.9822222222222222,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D2,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D2,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D2,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D2,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D2,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D2,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D2,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D2,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D4,All,1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D4,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D4,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D4,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D4,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D4,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D4,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D4,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D4,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D4,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D8,All,-1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D8,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D8,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D8,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D8,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D8,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D8,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D8,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D8,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D8,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D15,All,-0.09333333333333334,0.09333333333333334,N,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D15,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D15,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D15,All,1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D15,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D15,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D15,All,1,1,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D15,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D15,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D15,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D25,All,-1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D25,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D25,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D25,All,-1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D25,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D25,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D25,All,0.5733333333333334,0.5733333333333334,L,depth
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D25,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D25,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D25,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D40,All,-1,1,L,depth
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D40,All,-1,1,L,depth
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D40,All,-1,1,L,depth
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D40,All,-1,1,L,depth
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D40,All,-1,1,L,depth
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D40,All,-1,1,L,depth
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D40,All,-1,1,L,depth
